名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
南澳岛,Nan'ao Island,17810,79920,23.434951,117.061723,海滨玩水|4A|游山玩水|亲近大自然|海滨沙滩,浑然天成的山水景致,0.0,0,4.4,2207,https://dimg04.c-ctrip.com/images/100d1f000001gosu27500.jpg,12.0,7.0,7.0,7.0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 2, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",南澳岛位于广东省和福建省交界的海域上，是一个海岛县。岛上主要有金银岛、青澳湾、黄花山国家森林公园、南澳总兵府、宋井和叠石岩等景点。南澳岛的山水景致浑然天成，因为开发的比较少，所以环境保护的不错，许多山石草木依然保留着原始的面貌，海滩风景也很优美，是小众打卡拍照胜地。另外，岛上还有些历史遗迹，闲暇之余可以逛一逛。在黄花山国家森林公园有座高山，爬到山顶能观赏一望无垠的大海，山下有几个石乌龟，很有特点。南澳总兵府和宋井都是历史遗迹，前者是明朝初期建成的，然后1983年重新修建成总兵府，对历史有兴趣的可以看看。后者顾名思义，就是宋代开掘的井，历史悠久。另有叠石岩，它是一块奇石，外形为两块巨石巍然相叠的样子，很有特色。关于交通南澳岛并不大，在岛上骑自行车或者租车、自驾都可到达各个景点，还有环岛旅游线路公交车可以乘坐。关于住宿和餐饮南澳岛的住宿主要集中在虾尾湾和青澳湾区域，总的来说，环境一般。虾尾湾位于岛的东南部，离客车站和宋井较近，宾馆以民宿为主，吃海鲜的话住这里比较好。青澳湾位于南澳岛西南侧，长山尾码头在这附近内，等于如果坐轮渡过来，本身是在青澳湾附近。看海景的话住这里比较好，傍晚还能看到美丽的海岛落日。岛上的饭店多为海鲜大排档，海鲜非常丰富，而且新鲜美味，值得品尝。,"{'儿童': [['3周岁（不含）以下', '免费'], ['3周岁（含）~12周岁（含）', '半价']]}"
汕头老城,Shantou Old Town,50159,83072,23.349708,116.671382,街区漫步,感受历史建筑的独特风情,0.0,0,4.5,825,https://dimg04.c-ctrip.com/images/100a1b000001byndiDC57.jpg,0,0,0,0,3-4小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-4小时', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",在汕头市榕江北岸的旧城区，从汕头西堤码头到外马路口的1公里路，云集着大量建于20世纪初期的建筑，这就是汕头老城。马路边避雨的“骑楼”、鳞次栉比的店铺、略显芜杂的街道，以及门窗附近古朴的装饰花纹，都无不透露着汕头老城独特的历史风情。这里曾是汕头市较繁华的商业区，漫步其中，百货大楼、永平酒楼、汕头邮政总局大楼、老妈宫等历史建筑依然保留着原始风貌，诉说着这里曾经的辉煌。漫步在老城内，零零散散的汕头小吃、喝着功夫茶闲聊的人们，也是这里的独特风景。,{}
青澳湾,Qing'ao Bay,50155,83068,23.441807,117.137872,海滨玩水|海滨沙滩|亲近大自然,坡度平缓的天然海水浴场,0.0,0,4.6,461,https://dimg04.c-ctrip.com/images/0105f12000b8ldgmc138C.jpg,0,0,0,0,3-4小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-4小时', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",青澳湾对汕头而言，就如同亚龙湾之于三亚，这段位于汕头南澳岛东侧的海湾，很容易给人留下好印象。它的海水透蓝、沙质细腻，是整个南澳岛较为漂亮的海湾，也是很多人来南澳的目的地。坐船到南澳岛后，可以在渡口直接坐环岛巴士，终点就是青澳湾。青澳湾的湾口朝东南向，湾腹很深，湾弧达2.9公里，登高俯视，就象一弯新月，成排成片的木麻黄树循着孤形沙滩蔓延开去。海浪、白沙、林带以及林中新筑的各式亭台楼阁，构成了海滩边美好的景象。青澳湾的沙滩向海延伸坡度平缓，沿岸的海水都不是很深，是比较理想的海水浴场，很适合游泳。青澳湾也是很好的住宿区域，一般来南澳岛的大部分不是选择虾尾湾就是选择青澳湾入住。如果想要看海景，青澳湾要比虾尾湾适合。这里酒店平时价格和周末相差非常多，在150元左右起伏，例如平时400元，可能周末就要500-600元了。,{}
广济桥,Guangji Bridge,56634,85862,23.662301,116.657839,地标观景|4A,历史悠久，建筑结构独特,0.0,0,4.6,1407,https://dimg04.c-ctrip.com/images/10031900000164xdiD6EC.jpg,88.0,78.0,88.0,78.0,30分钟,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '30分钟', 'openTimeDesc': '11月1日-次年1月31日 周一-周五 10:00-16:30（16:00停止入园） 周六-周日 09:00-17:30（17:00停止入园）；2月1日-10月31日 周一-周五 10:00-17:30（17:00停止入园）；2月1日-12月31日 周六-周日 09:00-17:30（17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '2月1日-12月31日', 'isCurrentTime': True, 'openWeekRuleInfo': [{'weekTime': '周六至周日', 'weekDesc': '09:00-17:30(最晚入园17:00)'}]}, {'dateDesc': '2月1日-10月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '10:00-17:30(最晚入园17:00)'}]}, {'dateDesc': '11月1日-次年1月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '10:00-16:30(最晚入园16:00)'}, {'weekTime': '周六至周日', 'weekDesc': '09:00-17:30(最晚入园17:00)'}]}]}",广济桥俗称湘子桥，始建于宋乾道七年（公元1171年），历史悠久。并与赵州桥、洛阳桥、卢沟桥并称为“中国四大古桥”。桥面古香古色，桥身横跨韩江，并集梁桥、拱桥和浮桥于一体，结构十分特殊，堪称我国桥梁史上的孤例。站在韩江江边便能感受到广济桥的恢弘气势，两边为石墩，桥墩上建有精美的楼台亭阁，中间由18座古浮桥相连，梁舟结合，刚柔相济，在上面走一走，别有一番趣味。不过由于通航的需要，在下午5:30左右，浮桥会收起来，以便货船从江面通过。如果届时恰巧经过，不妨停下来，欣赏一下“过河拆桥”的独特景色。,{}
汕头小公园,Shantou Small Park,1646565,18400436,23.355224,116.673919,街区漫步,汕头老城的商业文化中心,0.0,0,4.4,456,https://dimg04.c-ctrip.com/images/10091a0000019klo41850.jpg,0,0,0,0,2-3小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",汕头小公园，汕头老市区的商业中心和文化中心，是汕头老城的核心地标和文化标志。狭义的小公园，指位于小公园片区核心的中山纪念亭。广义的小公园，涵盖中山纪念亭周边的街区，包括安平路、升平路、国平路等等，统称小公园历史文化区。小公园片区的骑楼和街路，基本仿造巴黎街区样式，呈扇形放射状分布；加上两侧的旧街坊“四永一升平”，东部的旧“盐埕头”、北面的红亭、南面的“汕头港”，形成了具有20世纪30年代建筑特色的繁华商业区、居民区。片区内的百货大楼高7层，前身是1932年华侨集团集资创办的“南生公司”，为解放前汕头第二高楼，是老汕头的标志性建筑及小公园的象征之一。,{}
潮州古城,Chaozhou Ancient City,145618,10521550,23.662099,116.651684,古镇古村|体验慢生活,观历史遗迹，品潮州美食,0.0,0,4.6,809,https://dimg04.c-ctrip.com/images/0106g1200086whnyf0883.jpg,0,0,0,0,3-5小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '2022年潮州古城墙灯会开放时间：1月26日至3月12日，17:30-22:00', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-5小时', 'openTimeDesc': '全年 9:00-17:00；2022年潮州古城墙灯会开放时间：1月26日至3月12日，17:30-22:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '9:00-17:00'}]}]}",潮州古城主要是指潮州市湘桥区一片，这里的众多历史建筑与市井生活融为一体，可以说是一座“活着”的古城。游走在大街小巷上，广济门、开元寺等古迹让人叹为观止，数不尽的潮州特色美食与古巷深处的民居让人倍感亲切。漫步在潮州古城内，始建于唐朝时期的开元寺一定要去看看，经过历史上数次大规模的修建，如今的开元寺依旧规模宏大，辉煌壮丽，香火不绝。广济门城楼庄严巍峨，共三层楼高，登上城楼可将韩江水和湘子桥等潮州主要标志建筑尽收眼底。历史久远的韩文公祠、国内罕见的宋代民居建筑许驸马府、集潮州木雕之大成的“己略黄公祠”、周总理办公过的涵碧楼等也不要错过。沿街售卖特色纪念品的商铺和美味餐厅让人目不暇接，闲逛时可别忘了尝一尝这里鼎鼎有名的潮州功夫茶。,{}
总兵府,Zongbingfu,1714961,22867460,23.452417,117.101788,文化古迹|演出场馆,历史文化深厚的军事要地,0.0,0,4.0,224,https://dimg04.c-ctrip.com/images/0102s120009kjqyjxB204.jpg,12.0,7.0,7.0,7.0,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '8:30-18:00，17:00停止入场。', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 08:00-18:00（17:00停止入园）；8:30-18:00，17:00停止入场。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-18:00(最晚入园17:00)'}]}]}",总兵府是明清时代南澳总兵的衙署，初期建于明朝万历四年（1576年），由当时的南澳副总兵晏继芳建造，现在的建筑是于1933年重新建造的。总兵府前现遗存有八千斤，六千斤土炮各一尊。此外，府前还有两棵大榕树，据说已有410年的树龄，其中一棵树围达14米，枝叶繁茂，生机旺盛，相传明朝末年郑成功曾在树下讲演。所以这树后人又称“招兵树”。府内右侧院墙上镶嵌着23块历代南澳保存的古碑，其中一块是中国较早的港务约法，一块税务碑，具有重要的历史文物价值。,{}
礐石风景区,Queshi Scenic Area,17812,79922,23.330787,116.68675,4A|登高爬山,自然景色与人文景观相融,0.0,0,4.5,416,https://dimg04.c-ctrip.com/images/100p1f000001gpe7r93BD.jpg,0,0,0,0,1天,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '8:00-17:00，16:30停止入场', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1天', 'openTimeDesc': '全年（冬令时） 08:00-17:00（17:00停止入园）；全年（夏令时） 08:00-17:00（16:30停止入园）；8:00-17:00，16:30停止入场', 'openDateRuleInfo': [{'dateDesc': '全年（冬令时）', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-17:00(最晚入园17:00)'}]}, {'dateDesc': '全年（夏令时）', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-17:00(最晚入园16:30)'}]}]}",礐石风景区位于榕江江畔，景区内遍布奇峰异石，加上海景的风情相伴，形成了汕头自然景色与人文景观相辅相成的风景名胜区。景区共分为六个景区，分别是啸石景区、塔山景区、焰峰景区、香炉山景区、笔架山景区、苏安景区。其中香炉景区和笔架山景区目前正在开发中。其余的4个景区你可以挑选自己喜欢的游玩，一般主要就是游玩塔山和焰峰。因为，相对来说，塔山景区建设较为完整，而焰峰景区则是另外一个相对完善的景区，它相对而言比较大，有3个塔山景区的大小，比较出挑的是其梦之谷的自然风光。塔山景区的景观特征为景岩幽洞、摩崖石刻。景点包含盟鸥亭、水帘洞天、桃花涧湖、垂虹洞、飘然亭等，主要的景点是垂虹洞。进入景区后可以考虑往左或者往右走，往右是坐缆车和滑车的地方（单程25元，双程40元），你可以坐缆车上山，然后从垂虹洞下山。而往左走，步行5分钟左右就是垂虹洞口。垂虹洞是由花岗岩自然形成的连环洞，洞顶和洞壁上大小不一的花岗岩堆叠拥簇，形成一条石阵长廊。爬洞相当于爬山，因为出口处实际在临近山顶处。垂虹洞的不远处就是山顶观景台飘然亭，在这里可以俯览汕头全景，但这个地方的游人较多。西侧的萌鸥亭则比较清静，两者之间的举例大约步行10分钟可达。游玩好了可以选择坐滑道下山。,{}
方特欢乐世界蓝水星,Fantasy World Blue Mercury,109996,91534,23.345752,116.760556,4A|游乐场|演出场馆|嗨玩乐园,惊险刺激的大型游乐园,0.0,0,4.1,836,https://dimg04.c-ctrip.com/images/100g1f000001gr0uk72D8.jpg,200.0,120.0,100.0,120.0,1天,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1天', 'openTimeDesc': '6月1日-6月21日 周六-周日 10:00-18:00 周一-周五 10:30-17:30；6月22日-6月24日 10:00-22:00；6月25日-7月30日 周一-周五 10:30-17:30 周六-周日 10:00-18:00', 'openDateRuleInfo': [{'dateDesc': '6月1日-6月21日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周六至周日', 'weekDesc': '10:00-18:00'}, {'weekTime': '周一至周五', 'weekDesc': '10:30-17:30'}]}, {'dateDesc': '6月22日-6月24日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '10:00-22:00'}]}, {'dateDesc': '6月25日-7月30日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '10:30-17:30'}, {'weekTime': '周六至周日', 'weekDesc': '10:00-18:00'}]}]}",方特欢乐世界·蓝水星是汕头少有的大型游乐园，这里项目众多，一座座主题城堡让人恍若进入童话王国。不论是体验飞越极限、享受悬空的刺激、感受双层转马的浪漫等，这里都是一个很棒的选择。UFO、飓风飞椅等项目带来了尖叫狂欢，海螺湾呈现了精彩纷呈的海底世界，飞越极限带领游客翱翔空中、环游世界，奇幻摄影棚内展示了多种电影特技，双层转马的轻松浪漫等，每一处都让人欢乐无穷。儿童王国还提供了众多适合小孩子游玩的项目，如旋转小蜜蜂、果虫滑车等。玩累的话可以停下来享受一顿午餐，园区内提供包括汉堡、传统中餐、饮料等等在内的中西美食，你可以去海螺湾的海螺湾茶餐厅，也可以去西部传奇区的西部餐厅亦或者是儿童王国的蘑菇餐厅。另外，方特欢乐世界还有多家礼品店，你可以买到公仔玩具、精品首饰和个性物件，价格虽然不便宜，但是如果喜欢也可以买一些作为纪念。,"{'儿童': [['身高未达1.1米的儿童免票（免票儿童需一名持票成人陪同入园，每位成人限带一名免票儿童）', '免费'], ['身高1.1-1.4米的儿童可购优惠票', '优惠票']], '老人': [['适用年满65周岁的人士（需提供有效身份证件）', '优惠票']]}"
牌坊街,Archway Street,131443,94019,23.659775,116.64858,街区漫步,看骑楼建筑，品特色美食,0.0,0,4.5,676,https://dimg04.c-ctrip.com/images/100q1f000001grkel4BC3.jpg,138.0,118.0,138.0,118.0,1-2小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '具体营业状态以当天开放情况为准'}",牌坊街位于潮州老城区内，沿街保留有众多骑楼建筑，街上立有22座牌坊，诉说了历史上众多潮州英杰的丰功伟绩，每一座牌坊背后都有一个故事，耐人寻味。当然，街上众多的潮州美食更是不容错过。据说街道上比较早出现的牌坊是明正德十二年（1517年）的“柱史”牌坊，历史上这里曾有39座牌坊之多，后来由于种种原因被损坏，如今复建的有22座，它们跨街而立，古韵悠悠。牌坊大多为进士、状元、尚书等设立，记录了他们的丰功伟绩，也彰显了潮州的地杰人灵。除了探访古迹，沿街的美食更是诱人，潮州手打牛肉丸、芋泥饼等都非常具有特色，佛手老香黄、黄皮豉和老药桔这“潮州三宝”可以说是伴手礼的佳选。,{}
