名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
万绿湖风景区,Wanlu Lake Scenic Spot,12346,78642,23.775582,114.632455,亲近大自然|4A|游山玩水,因这里四季皆绿而得名,0.0,0,4.6,3456,https://youimg1.c-ctrip.com/target/100a1f000001grjseA728.jpg,175.0,106.5,175.0,125.0,2.9-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2.9-3小时', 'openTimeDesc': '全年 09:00-16:00（15:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-16:00(最晚入园15:00)'}]}]}",万绿湖，又名新丰江水库，与西双版纳、鼎湖山被人并称为地球北回归线“沙漠腰带上的东三奇”，被誉为“天上瑶池水，人间万绿湖”，主要位于广东省河源市东源县境内，是粤港4000多万人的重要饮用水源地，湖水水质一直保持国家地表水Ⅰ类标准。万绿湖是华南第一湖，因处处是绿，四季皆绿而得名。万绿湖水质常年保持国家一类地表水标准，水域面积370平方公里，蓄水量约139亿立方米，有360多个绿色岛屿。万绿湖一年四季湖水的恒定温度在19℃—23℃，湖区基本不受台风影响，湖面少有风浪；因湖水颜色随着太阳照射角度、光线的不同，在一天时间里产生几种不同颜色，由近到远从墨绿、深绿、浅绿、淡绿逐渐转淡，因此而水色秀美。水月湾游览区建于1996年，占地面积280亩，是万绿湖主要的自然教育研学基地，水中“大熊猫”桃花水母的重要栖息地，内有万绿湖国家湿地公园的一个水上宣教中心，集研学、科普、教育、观光、娱乐于一体，寓教于乐，体验自然研学。被誉为万绿湖的“亲子游学乐园”、“生态百科博物馆”。 目前开发建设有博浪亭、读夕阳、一湖春色、恐龙故乡之路、京九市长林步道、水月广场、亲水长廊、水月驿站、得月轩、湿地宣教基地等景点。龙凤岛游览区位于万绿湖最为宽阔的水域中心，由相连的两座岛屿组成，因东部像龙、西部似凤、状如龙飞凤舞而得名。龙凤岛四周环水，风景秀丽，尤其是秋末冬初，漫山枫林似火，层林尽染，成为游客最为喜爱的拍照打卡地。岛上建设有龙凤亭、鹊桥、同心锁、凤求凰、双龙戏凤、心心相印花廊、爱情故事画廊、枫情园、爱情步道、征婚长廊、婚纱摄影基地等景点，是游客沐浴爱河、享受浪漫、休闲度假的旅游圣地，被誉为万绿湖的“爱情岛”。龙凤岛上有李讷植树点。1996年，李讷与丈夫王景清一同在龙凤岛开发初期种下了一株细叶榕，为万绿湖的环保旅游事业许下了祝福，有游人将此树称之为“公主榕”；时隔十年，2006年除夕，李衲携丈夫王景清再次来到龙凤岛，在原来的细叶榕旁种下了一株同样品种的细叶榕，同行书法家还现场书写了“春到龙凤岛”，寓意万绿湖长青，为人类在环保事业上添砖加瓦，将龙凤岛祥瑞开枝散叶，祝福人间有爱，祖国繁荣昌盛。镜花缘游览区位于万绿湖旅游码头南侧，有着得天独厚的地理位置，依山傍水，湖滨百花路绿树繁华相拥簇，登山可俯瞰万绿湖湖面美景，既有磅礴的气势，又有平如镜湖面风光。游览区根据清代小说名家李汝珍所著的一部神话长篇小说《镜花缘》百花仙子降生在“河源”地方而设，文化底蕴深厚和游玩参与项目精彩纷呈，是一个集观光娱乐、休闲度假、登山健身、团队拓展于一体的小说沉侵式主题文化休闲体验游览区。主要景点和游玩项目有：女儿国（每天有特色表演）、科普植物园、红颜洞、高空速降、迷缘阵、七星阵、开心乐园、湖畔戏水池等。女儿国：是《镜花缘》小说故事演绎、歌舞表演场所，依据百花仙子降生在河源这个美丽传说和古典名著《镜花缘》神话内容，以中华民族的神仙文化，花仙子文化为主线，由十几个美丽的客家姑娘演绎了一场场精彩绝伦的文化大餐，特色客家媒婆让你捧腹大笑；古典女子群舞，客家舞蹈等精彩节目让你一饱眼福。将游览区变成真正的花仙子会聚之地，名副其实的百花仙子的故乡。高空速降：镜花缘的速降滑道，是极限运动的一种，让人在瞬间体验多种复杂的感觉，道设在湖面两山之间，长达320米的索道以每秒约13米的速度滑行，整个滑行只要24.6秒，让你有惊无险的在青山绿水中享受自由飞翔让您感受飞越万绿湖。迷缘阵：上应天文，下应地理，中应人和。让您破解玄机，感知未来，把握命运。红颜洞：据专家考证是几亿年前岩浆喷发冷却后形成的单体块状花岗岩组成，洞内一石撑一石，一石叠一石，甚至有巨石重达几万吨，非常奇特，洞长达380米。这么大的花岗岩石洞极其罕见。相传这里是百花仙子居住及众仙会聚之地，此处仙气浓郁，神秘莫测，每游览一次让您好运连连。植物园科普展览馆：河源市客家乡土植物园，由河源市城管局与东源县万绿湖镜花缘旅游区合作共建。是河源市首座植物园，面积约45公顷，园内集珍贵植物普及、物种保育、生态旅游等功能为一体的综合植物园，植物群落丰富多样，乡土植物葱翠繁茂，现园内含有野生国家保护植物11种，有花植物8种，其余珍稀植物数十种。花仙子亲子乐园：是在镜花缘景区内依丛林建造，成为一片真正的融于自然的乐土，整个乐园分为森林乐园、森森嘉年华、丛林魔网三个游玩区域。是以儿童各方面的兴趣为出发点，将攀、爬、钻、跑、跳、争夺、探索等探险元素融入乐园设计中，可以让儿童在游乐中体验自然，在探索中激发创造力，想象力和合作能力。同时还有利于家长们和孩子一起互动，交流，增进亲子间的情感，提高孩子的体育技能、动手能力、思考能力、交际能力等。万绿湖客家风情馆位于美丽的万绿湖畔，是河源市最为全面展示客家文化的民办展览（收藏）馆。本馆按照“客家古邑”城市定位打造，与万绿湖形成资源互补，旨在传承和弘扬客家优良传统、挖掘和保护客家文化遗产、培养和陶冶青少年爱国爱家的道德情操。本馆的建成，填补了河源市传统文化展览的空白，提升了当地旅游文化内涵。自开馆以来，深受社会各界好评，先后荣获“全国人文社会科学普及基地”、“广东省科普教育基地”、“广东省青少年科技教育基地”、“广东省人文社会科学普及基地”、“广东省十大民间收藏馆提名奖”、“河源市爱国主义教育基地”、“宣传推介河源旅游贡献单位”、“河源市科普教育基地”、“东源县文明窗口”等荣誉称号，被广大市民誉为“万绿湖畔的文化明珠”，被市委市政府及县委县政府定为接待外宾指定单位。客家风情馆由我国漫画泰斗华君武亲笔提名，建筑面积2000多平方米，展出的有5000余件，大的重达几吨，小的如绣花针，都是一些珍贵、濒临流失的客家民间藏品。本馆的主要功能：一是展示博大精深的客家文化。以客家喜庆文化为主线，利用实物、图片、文字、雕塑、多媒体、场景、现场表演等多种展示手法，生动演绎客家“八喜”（即添丁之喜、金榜之喜、乔迁之喜、花烛之喜、立灶之喜、寿诞之喜、节庆之喜、丰收之喜），翔实展示河源客家人的历史渊源、文化艺术、风土人情、礼仪习俗、民间工艺、生产生活习俗等。二是发挥社会传统教育功能。本馆常年为青少年、部队官兵提供学习交流的平台，每年都有很多学校组织学生前来参观学习，让客家传统文化在青少年一代得到传承。三是举办艺术品展览。本馆不定期举办书画等艺术品展览，让广大市民感受中国百花齐放的文化艺术，让艺术家们有交流推介的平台。四是挖掘和保护客家文化遗产。本馆长期收集一些珍贵的、有价值的民间藏品，对一些损坏严重的及时修复，有效地阻止这些珍品的流失。万绿谷游览区是万绿湖环湖公路上第一个原生态自然渔村，位于万绿湖南边湖畔，依偎于钟灵毓秀的南山，宛如世外桃源，令人流连忘返。依托得天独厚的原生态资源，经过十余年发展，目前主要有百子围酒店、渔家别院、打饾肆湖鲜馆、湖畔花田、南山廊、生态园、万绿谷•昱、水上运动基地等景点和游玩项目，是一个集康养度假、客家文化、渔家风情、餐饮娱乐和商务会议于一体的高端休闲度假胜地。,"{'儿童': [['6周岁 (含) 以下凭证件或身高1.2米 (含) 以下', '免费'], ['年龄6周岁（不含）-18周岁（含），需出示相应有效居民身份证', '优惠']], '老人': [['65周岁 (含) 以上凭老年证或身份证', '55元优惠票'], ['60周岁 (含) -65周岁 (不含）凭老年证或身份证', '优惠']], '残疾人': [['凭残疾证', '55元优惠票']], '军人': [['凭军官证', '55元优惠票']], '学生': [['全日制大学本科及以下学历，需出示相应学生证等有证件', '优惠']]}"
巴伐利亚庄园,Bavarian Manor,1704463,22567542,23.629199,114.623057,度假村|体验慢生活|4A|演出场馆,欣赏色彩斑斓的欧式建筑,0.0,0,4.2,1532,https://youimg1.c-ctrip.com/target/010341200093suwj9BC20.jpg,100.58450704225352,88.0,88.0,0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '黑森林乐园开放时间：9:00-18:00。\n国医国药温泉营业时间为：13:00-23:00。\n魔术秀表演时间为：演出时间 17:00-17:30，周六加演11：00-11：30 。每逢周一停演。\n自2023年7月21日开始魔术秀演出时间调整为：\n1、周日至周五15:30-16:00；（每逢周一停演）\n2、周六11:00-11:30、15:30-16:00；', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放；黑森林乐园开放时间：9:00-18:00。\n国医国药温泉营业时间为：13:00-23:00。\n魔术秀表演时间为：演出时间 17:00-17:30，周六加演11：00-11：30 。每逢周一停演。\n自2023年7月21日开始魔术秀演出时间调整为：\n1、周日至周五15:30-16:00；（每逢周一停演）\n2、周六11:00-11:30、15:30-16:00；', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",巴伐利亚庄园坐落在空气质量极佳的河源市，庄园山水环绕，且融合了东西方文化，色彩斑斓的欧式建筑、城堡、风车，让人仿佛置身于童话王国，客家围屋、庄严的寺庙都给人中华传统的美感。在这里还可以畅享温泉、游乐场等玩乐设施，观看精彩表演。游玩庄园多以体验这里的玩乐项目为主，能畅玩碰碰车、高尔夫、滑雪和索道等项目，可以在游玩后体验庄园内的温泉水疗，好好放松一下。或是观看大马戏、歌舞等表演，也可去往寺庙祈福。庄园内还设有可供住宿的小别墅。,"{'儿童': [['1.2米(不含)以下儿童', '免费']]}"
河源恐龙博物馆,Heyuan City Museum (Heyuan Dinosaur Museum),14817,79147,23.725287,114.700012,探秘展馆|演出场馆|博物馆,恐龙蛋数获吉尼斯世界纪录,0.0,0,4.2,184,https://dimg04.c-ctrip.com/images/0101f1200095g6jx4E140.jpg,27.0,13.5,27.0,13.5,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeHolidayDesc': '国庆节,中国法定节假日 09:00-17:30开放(最晚入园17:00)', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 周二-周日 09:00-17:30（17:00停止入园）；国庆节,中国法定节假日 09:00-17:30开放（17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周二至周日', 'weekDesc': '09:00-17:30(最晚入园17:00)'}]}, {'dateDesc': '国庆节,中国法定节假日', 'holidayOpenDesc': '09:00-17:30开放(最晚入园17:00)', 'isCurrentTime': False}]}",04年获得吉尼斯世界纪录——馆藏恐龙蛋数量世界第一；观赏万枚亿万年前的恐龙真化石河源市博物馆（河源恐龙博物馆）盘卧于龟峰山麓，与龟峰古塔交相辉映，可以说是河源市的标志性景点。博物馆以恐龙化石为主要陈列元素，并展示了河源传统的客家古邑文化和出土于当地的珍贵文物。河源是有名的“中华恐龙之乡”，馆藏的恐龙蛋化石有17000多枚，另有13具珍贵的恐龙骨骼化石以及多个恐龙足迹化石，还有恐龙蛋开采场景复原、科普廊、3D电影等项目，帮助参观者更好地了解恐龙文化。除了恐龙展馆外，这里还设有以客家古邑为主题的展厅，呈现了明代三彩陶罐、客家刺绣、家具、农耕用具等珍贵传统文化产物。,{}
河源恐龙文博园,,5719126,131202080,23.725881,114.700661,4A|博物馆|演出场馆,国家4A级旅游景区,0.0,0,4.3,29,https://youimg1.c-ctrip.com/target/0104p1200095iguqv36E2.jpg,27.0,13.5,27.0,13.5,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeHolidayDesc': '国庆节,中国法定节假日 09:00-17:30开放(最晚入园17:00)', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 周二-周日 09:00-17:30（17:00停止入园）；国庆节,中国法定节假日 09:00-17:30开放（17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周二至周日', 'weekDesc': '09:00-17:30(最晚入园17:00)'}]}, {'dateDesc': '国庆节,中国法定节假日', 'holidayOpenDesc': '09:00-17:30开放(最晚入园17:00)', 'isCurrentTime': False}]}",河源恐龙文博园是集 河源市博物馆、河源恐龙博物馆、龟峰塔一体的文化园区。河源市博物馆管辖的河源恐龙博物馆是河源市爱国主义教育基地、广东省科普教育基地、广东省青少年科技教育基地、全国科普教育基地，2013年4月与中科院合作共建了“中国古动物馆恐龙蛋馆”。       该馆位于河源市区滨江大道龟峰公园内，与河源市博物馆毗邻，北靠龟峰山，山上有全国重点文物保护单位宋代龟峰塔及明代的龟峰古刹，山下四周建有主体高48米，全长338米，总跨度800米的大型梦幻恐龙雕塑墙，以及高9米的恐龙主体雕塑和10组钢铁恐龙创意雕塑。       该馆于2010年11月26日正式对外开放，建筑面积8300平方米，展览面积3100平方米，以恐龙为主题，主要展出获得世界吉尼斯纪录证书的17000多枚各种恐龙蛋化石、10多具恐龙骨骼化石个体及众多恐龙足迹化石模型，体现了河源市作为“中华恐龙之乡”的丰富恐龙化石资源。,{}
河源客天下国际旅游度假区,Ocean Spring Resort,67861,88639,23.628523,114.630722,度假村|体验慢生活|4A,有各国沐浴文化的温泉乐园,0.0,0,4.5,724,https://dimg04.c-ctrip.com/images/0100j120008xcspzyCCBD.jpg,108.0,108.0,108.0,108.0,1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1天', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",客天下国际旅游度假区（原客天下水晶温泉国际旅游度假区）背靠天然水晶山，专享河源氡温泉，以“世界沐浴文化”与建筑风格为主题，打造中国区，欧洲区等多个主题温泉的万国风情温泉区。客天下国际旅游度假区以“氡温泉”闻名，13个泉眼每天的出水量10000立方米，园林式设计，每个温泉池的私密性很好。整个城区将世界各国的沐浴文化与主题建筑风格相融合，为华南地区罕有的超大规模温泉度假胜地。这里拥有原生态自然环境，负离子纯净鲜氧，大自然灵韵水涧，独特稀有矿物质温泉，岭南文化精髓，世界温泉风情理念。整体规划近百万平米，南北两区均为大规模别墅区域，另设有20万平米的温泉度假区，规划建设的配套项目包括：温泉度假区、接待中心、商务豪华酒店、泛地中海式风情别墅群等。,{}
霍山风景区,Huoshan Scenic Area,69264513,69264513,24.236172,115.529952,4A|登高爬山,悬崖玻璃栈道绵长而又惊险,0.0,0,4.3,144,https://youimg1.c-ctrip.com/target/10091f000001gsq0c3A53.jpg,70.0,44.0,70.0,44.0,0.5-1天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 08:00-17:30', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-17:30'}]}]}", 霍山风景区地处龙川县田心镇，是省内七大名山之一，以秀石奇岩以及险峻的丹崖峭壁闻名遐迩。,"{'儿童': [['身高1.2米（不含）以下', '免费'], ['身高：1.2米（含）-1.5米（不含）', '优惠']], '老人': [['60周岁（含）-69周岁（含）持有效证件', '优惠']]}"
河源佗城,Heyuan Tuocheng,51158,83675,24.059729,115.19005,4A|古镇古村,历史名城，古迹颇多,0.0,0,4.2,93,https://youimg1.c-ctrip.com/target/100r11000000r2v3lF80A.jpg,30.0,16.0,16.0,16.0,2-4小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-4小时', 'openTimeDesc': '全年 08:30-17:30', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:30'}]}]}",佗城，原称龙川城，是在公元前214年，秦始皇平定南越后，设县治所所在地。为纪念首任县令后为“南越王”的赵佗，故称为佗城。佗城是“世界客家古邑、岭南文化名城”，是秦朝岭南四大古邑一个保存完整的古城，是岭南历史上建制早的一个县，属“岭南第一古镇”，至今已有2225年历史，素有“秦朝古镇，汉唐名城”的美称，是广东省首批历史文化名城。佗城虽经历千年沧桑，但至今仍保存有秦朝时期的越王井、赵佗故居；唐代的正相塔；宋代的越王庙、古城墙、循州治所；明代的城隍庙；清代的学宫、考棚等100多处文物古迹。仅有四万人口的佗城镇，就有179个姓，其中二千多人的佗城村就有140个姓，是全国罕见的。佗城又是全国学宫与考棚共存的四个地方（广东龙川、河北定州、安徽绩溪、云南建水）之一。佗城有历史记载的姓氏古祠堂89间，现仍存48间，誉为“中华姓氏古祠堂博物馆”。佗城景区是“岭南客家之源，中华姓氏之，赵佗兴王之地，科举文化之窗”。,{}
野趣沟,Yequ Valley,51056,83587,23.708897,114.624613,亲近大自然|游山玩水|登高爬山|清凉漂流,观自然美景玩趣味项目,0.0,0,4.4,233,https://dimg04.c-ctrip.com/images/10041f000001gp7oiB6BB.jpg,45.0,45.0,45.0,0,3-4小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '漂流开放时间：下午13.30-17.00', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-4小时', 'openTimeDesc': '全年 08:30-17:30（17:00停止入园）；漂流开放时间：下午13.30-17.00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:30(最晚入园17:00)'}]}]}",野趣沟旅游区位于大桂山主峰北部，这里依山傍水，环境清幽。有野鸭湖、百花园、响水瀑布等多样化的自然美景，更可体验激情暗洞漂流的自然野趣。穿梭在景区的山林之间，必经的就是野鸭湖了，这里水平如镜，景色秀美，偶有野鸭出没，也是漂流的起始点。在此也可以选择继续漫步欣赏，途中百花园和百药园赏奇花异草，在狐狸坳寻找梅兰竹菊这“四君子”的身影，响水坪、通天河那直泻而下的壮美瀑布、怪石嶙峋之景，都让人流连忘返。从野鸭湖畔启航的漂流之旅更是能给人多重刺激之感，途中有疾驰而下的激流勇士漂，有缓缓行于密林间的林阴逍遥漂，更有趣味十足的岩洞漂流。当然，除了漂流，在景区还可体验野炊、林间畅泳等休闲项目。,"{'儿童': [['1.2以下（不含）', '免费'], ['身高：1.2米（含）~1.4米（不含）', '儿童票']], '老人': [['70岁以上（含）', '免费']]}"
万绿湖•镜花缘游览区,Wanlvhu Jinghuayuan,51151,83668,23.776152,114.629284,亲近大自然|游山玩水,三面环水，花繁林密,0.0,0,4.4,531,https://dimg04.c-ctrip.com/images/350o0t000000ia6kcA786.jpg,32.0,32.0,20.0,20.0,1天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1天', 'openTimeDesc': '全年 08:30-17:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:00'}]}]}",镜花缘游览区位于万绿湖旅游码头南侧，有着得天独厚的地理位置，依山傍水，湖滨百花路绿树繁华相拥簇，登山可俯瞰万绿湖湖面美景，既有磅礴的气势，又有平如镜湖面风光。游览区根据清代小说名家李汝珍所著的一部神话长篇小说《镜花缘》百花仙子降生在“河源”地方而设，文化底蕴深厚和游玩参与项目精彩纷呈，是一个集观光娱乐、休闲度假、登山健身、团队拓展于一体的小说沉侵式主题文化休闲体验游览区。主要景点和游玩项目有：女儿国（每天有特色表演）、科普植物园、红颜洞、高空速降、迷缘阵、七星阵、开心乐园、湖畔戏水池等。女儿国：是《镜花缘》小说故事演绎、歌舞表演场所，依据百花仙子降生在河源这个美丽传说和古典名著《镜花缘》神话内容，以中华民族的神仙文化，花仙子文化为主线，由十几个美丽的客家姑娘演绎了一场场精彩绝伦的文化大餐，特色客家媒婆让你捧腹大笑；古典女子群舞，客家舞蹈等精彩节目让你一饱眼福。将游览区变成真正的花仙子会聚之地，名副其实的百花仙子的故乡。高空速降：镜花缘的速降滑道，是极限运动的一种，让人在瞬间体验多种复杂的感觉，道路设在湖面两山之间，长达320米的索道以每秒约13米的速度滑行，整个滑行只要24.6秒，让你有惊无险的在青山绿水中享受自由飞翔让您感受飞越万绿湖。迷缘阵：上应天文，下应地理，中应人和。让您破解玄机，感知未来，把握命运。红颜洞：据专家考证是几亿年前岩浆喷发冷却后形成的单体块状花岗岩组成，洞内一石撑一石，一石叠一石，有巨石重达几万吨，非常奇特，洞长达380米。这么大的花岗岩石洞极其罕见。相传这里是百花仙子居住及众仙会聚之地，此处仙气浓郁，神秘莫测，每游览一次让您好运连连。植物园科普展览馆：河源市客家乡土植物园，由河源市城管局与东源县万绿湖镜花缘旅游区合作共建。是河源市首座植物园，面积约45公顷，园内集珍贵植物普及、物种保育、生态旅游等功能为一体的综合植物园，植物群落丰富多样，乡土植物葱翠繁茂，现园内含有野生国家保护植物11种，有花植物8种，其余珍稀植物数十种。花仙子亲子乐园：是在镜花缘景区内依丛林建造，成为一片真正的融于自然的乐土，整个乐园分为森林乐园、森森嘉年华、丛林魔网三个游玩区域。是以儿童各方面的兴趣为出发点，将攀、爬、钻、跑、跳、争夺、探索等探险元素融入乐园设计中，可以让儿童在游乐中体验自然，在探索中激发创造力，想象力和合作能力。同时还有利于家长们和孩子一起互动，交流，增进亲子间的情感，提高孩子的体育技能、动手能力、思考能力、交际能力等。,"{'儿童': [['1.2米（不含）以下儿童免费', '免费'], ['1.2米（含）-1.4米（不含）儿童享半价优惠', '半价']], '老人': [['70周岁（含）以上老人凭老年证免费', '免费']]}"
亚洲第一高喷泉,First High-Altitude Fountain in Asia,14819,79149,23.743197,114.695503,地标观景,喷泉水型多样，变幻莫测,0.0,0,4.3,221,https://youimg1.c-ctrip.com/target/0104312000bc9mgnp73BC.jpg,0,0,0,0,30分钟,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准。', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '30分钟', 'openTimeDesc': '全年 20:00-20:30；具体营业状态以当天开放情况为准。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '20:00-20:30'}]}]}",亚洲第一高喷泉位于河源大桥与珠河大桥之间的新丰江中心，每到夜晚时分，喷泉水型多样，变幻莫测，融声光水色于一体，十分壮观。喷泉表演一般在晚上八点左右开始，持续约半小时，在欢快愉悦的乐曲中，绚丽多彩的喷泉水柱随着音乐舞动，气势如虹。不论是专程前往，还是沿着新丰江漫步经过时，这里都值得去看看。,{}
