名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
世界之窗,Window of the World,2778,75869,22.534698,113.972928,游乐场|演出场馆|嗨玩乐园,看全球名胜缩影环游世界,0.0,0,4.4,23852,https://dimg04.c-ctrip.com/images/350r180000014u9yq3222.jpg,160.0,110.0,168.0,110.0,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 9, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 09:00-21:30（21:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-21:30(最晚入园21:00)'}]}]}",世界之窗正像它的名字那样，是一扇展现世界名胜的窗口的主题乐园，里面有世界各知名景点的缩影。除外，这里还有世界各地的风情表演，日本茶道、非洲风情歌舞秀等，等待你的观赏。景区按世界地域结构和游览活动内容分为世界广场、亚洲区、大洋洲区、欧洲区、非洲区、美洲区、雕塑园区、国际街。一般的游览顺序是世界广场（入口）-亚洲区-大洋区-非洲区-美洲区-欧洲区-雕塑园区、国际街区-世界广场（出口）。可以边参观各式建筑物拍照，边选择自己感兴趣的表演观看。世界广场主要看各式风格的门和浮雕墙，这是世界之窗的入口，是旅程开始的地方。大部分的游客会从中华门开始行程，中华门的外形是中国雍和宫门的样子。亚洲区、大洋洲区、欧洲区、非洲区、美洲区在这不同的园区里，你可以看到以1:1、1:5、1:15等不同比例仿建的世界著名景观，比如泰国泰王宫、印度泰姬陵、澳大利亚悉尼歌剧院、巴黎雄狮凯旋门、意大利比萨斜塔、埃及金字塔、阿蒙神庙、柬埔寨吴哥窟、美国大峡谷等，仿制的惟妙惟肖。在这，你可以看到众多知名景观的缩影。它是个小世界，特别适合拍照，也帮助你了解世界各地的景色，对哪里敢兴趣了，也不妨计划下明年的旅程去感受下真实的场景。这里还有世界各地的风情表演，你可以选择性的观看，演出时间表可参看以下官网，需要注意的是部分表演需要另外收费，具体园内其它收费项目情况也可以现在官网查询。国际街类似于一般游乐场吃东西买纪念品的地方，你可以品尝到世界各地的风味大餐及德国啤酒、夏威夷雪糕等，还可以买到各国的工艺品。,"{'儿童': [['日场+夜场：儿童身高1.2米以下（含）', '免费'], ['日场：1.2米-1.5米（含）', '优惠票']], '老人': [['满70周岁以上长者', '免费'], ['深圳户口女士满60周岁，男士满65周岁凭身份证，或持《深圳市敬老优待证》的深圳户籍长者', '免费'], ['满65周岁-70周岁（不含70周岁）的长者', '半价']], '军人': [['日场：一至六级残疾军人持证、“建军节”当日现役军人持证', '免费'], ['日场：现役军人、七至十级残疾军人持证', '半价']], '残疾人': [['日场：一至二级残障人士持证持证', '免费'], ['日场：三至四级残障人士持证、境外残障人士持有效的本人残疾证', '半价']], '学生': [['日场：全日制在读大学生（本科、专科）凭本人身份证及在读大学生证现场扫码购票', '168元']], '青少年': [['日场：身高1.5米（不含）以上，年龄18周岁（不含）以下的青少年游客凭证现场扫码购票', '130元']], '当天生日人群': [['日场：生日当天凭本人身份证', '半价']]}"
深圳欢乐谷,Shenzhen Happy Valley,13720,79101,22.54151,113.980851,游乐场|演出场馆|嗨玩乐园,丰富多彩的水陆游乐项目,0.0,0,4.7,22533,https://dimg04.c-ctrip.com/images/350r1a00000192c4rB246.jpg,180.0,130.0,180.0,130.0,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '园区运营时间：10:00-21:30\n夜场开放时间：18:00\n水公园开放时间：14:00-21:00', 'likeCount': 6, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 10:00-21:30（20:30停止入园）；园区运营时间：10:00-21:30\n夜场开放时间：18:00\n水公园开放时间：14:00-21:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '10:00-21:30(最晚入园20:30)'}]}]}","深圳欢乐谷是华侨城集团新一代大型主题乐园，是欢乐谷连锁品牌的发源地。全园分为九大风格迥异的主题区：西班牙广场、魔幻城堡、迷你世界冒险山、西部矿镇、香格里拉、飓风湾、阳光海岸、欢乐时光和玛雅水公园。不仅有100多个老少皆宜的游乐项目，还有异彩纷呈的精彩表演。全新推出深圳夜游新地标“欢乐光年”——35万㎡炫彩光乐园，为游客打造集“夜游+夜景+夜秀+夜宴+夜市”为组合的夜游体验！西班牙广场：这里是欢乐的起点，走进独具异域风情的西班牙广场，身临其境地体验中海沿岸的别致风景和文化，切身领略一个充满激情、动感和时尚的欢乐国度。魔幻城堡：集魔幻、娱乐、互动、休闲于一体的主题区，这里有20多项有趣的亲子游乐项目，不仅可以带小朋友来玩，也适合情侣来这儿浪漫约会。推荐项目：旋转木马、魔力飞梭、逍遥水母、北极探险迷你世界冒险山：该区域正在全面升级改造中。西部矿镇：带您走进西部世界，感受异域文化！既有惊险刺激的过山车和跳楼机，还有集梦幻光影、动感音效和互动参与于一体的炫彩演艺，带您日夜狂欢！推荐项目：金涛骇浪、环翼飞车、恐怖塔、金矿漂流、金矿听音室香格里拉：浓郁的藏族文化风情，汇聚了峡谷、森林、湖泊及纯净空气的神秘地域，极具娱乐性、互动性、体验感！推荐项目：雪域雄鹰、追风者、彩云之翼、寻龙洞、骷髅岛飓风湾：飓风湾的故事发生在一个充满加勒比海岛风情的废墟小镇上，这里有落差较高的“激流勇进”，可以乘坐老渔翁LOUIS的旅游船，体验从26米高处飞驰而下的刺激。推荐项目：激流勇进、飓风要塞、XD暴风追击阳光海岸：这里有一派迷人的海滨风情、阳光沙滩上逐浪嬉戏的孩子、漫步木质休闲长廊耳语的路人、棕榈林遮阳亭下携手的情侣，这里是游客体验惊险刺激后的休憩胜地。推荐项目：饼干警长训练营、弹跳青蛙、高空蹦极、呐喊喷泉欢乐时光：欢乐时光，日夜同欢，20世纪初繁华的欧洲小镇，在这里，欢乐是永恒的主题，欢乐时光的项目几乎都是以惊险刺激为主，能让人把烦恼抛到九霄云外。推荐项目：发现者、UFO、尖峰时刻、龙卷风、激光战车、四维影院玛雅水公园：荣获世界水公园协会“行业创新”桂冠的水公园，演绎浓郁玛雅主题文化，古代玛雅文明与现代水上游乐设施交相辉映，是炎炎盛夏全家畅爽的戏水天堂。玛雅水公园仅在每年五一至国庆期间开放，体验水上乐趣的游客请在此期间前往。推荐项目：雨林巨蟒、彩虹赛道、玛雅水寨、羽蛇神环、玛雅大冒险、库库尔坎营地【精彩表演】欢乐谷互动演艺全新升级深圳欢乐谷在24年主题演艺经验上全面提升主题演艺文化内涵，推出一系列参与性与体验性相结合的互动表演，举办魔术、滑稽、卡通、街舞等近百场缤纷艺术大展演活动，带给游客全新的视觉体验与参与感。《地道战》大型影视实景拍摄表演：深圳欢乐谷经典演艺项目，已上演10000余场，现场参与、实景表演，再现抗日战争波澜壮阔的历史画卷。《赏金猎人》大型沉浸式实景表演：好莱坞知名影视特技演员倾情演绎制作团队精心打造。激烈枪战、定点爆破、高空威亚，精彩对决揭开战幕。《追梦》大型都市主题魔术剧：通过大型幻术、黑色魔术、手彩魔术等多种魔术技法，融合街舞、杂技、滑稽多种元素，运用声光电多媒体技术汇聚中外魔术精华，通过奇妙多维度魔术手段向观众呈现魔幻魅力。《欢乐大冒险》迷你世界儿童剧：这是一场魔幻与冒险的征程，正义与邪恶的较量，跟随着迷你联盟与欢乐联盟勇闯冒险山，与他们一起击败黑暗势力，收获信任与友情，感受一段充满智慧与勇气的传奇旅程!5D炫彩光影秀：斥巨资5000万打造两大全新光影秀，结合先进立体投影、声光感应，数码影视设备倾情打造，带来沉浸式夜场新体验!  
 ","{'儿童': [['身高1.2米(含)以下', '免费'], ['身高1.2米(不含)-1.5米(含)', '优惠']], '老人': [['年龄70周岁(含)以上，凭身份证', '免费'], ['年龄60周岁(含)-69周岁(含)，凭身份证', '优惠']], '残疾人': [['军残1-6级，凭有效证件', '免费'], ['残疾人1-2级，凭有效证件', '免费'], ['残疾3级凭残疾证', '优惠']], '现役军人': [['凭军官证', '优惠']], '青少年': [['身高1.5 米(不含)以上，年龄18周岁(不含)以下（凭本人有效身份证件）', '优惠']], '导游': [['凭本人有效证件', '免费']]}"
东部华侨城,Overseas Chinese Town East,50102,83051,22.626657,114.28766,嗨玩乐园|度假村|4A,刺激游乐项目融合自然风光,0.0,0,4.4,12249,https://dimg04.c-ctrip.com/images/10031f000001gs0k863F3.jpg,190.0,150.0,190.0,150.0,1-2天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeHolidayDesc': '中国法定节假日 09:00-18:00开放(最晚入园17:00)', 'openTimeTips': '水公园开放时间13:30-18:30\n如遇节假日或大型活动，营业时间以当日开放情况为准。', 'likeCount': 2, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 周一-周五 09:30-18:00（17:00停止售票，17:00停止入园） 周六-周日 09:00-18:00（17:00停止入园）；中国法定节假日 09:00-18:00开放（17:00停止入园）；水公园开放时间13:30-18:30\n如遇节假日或大型活动，营业时间以当日开放情况为准。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '09:30-18:00(停止售票17:00,最晚入园17:00)'}, {'weekTime': '周六至周日', 'weekDesc': '09:00-18:00(最晚入园17:00)'}]}, {'dateDesc': '中国法定节假日', 'holidayOpenDesc': '09:00-18:00开放(最晚入园17:00)', 'isCurrentTime': False}]}",东部华侨城是一处景色很美的大型生态度假区，包括大侠谷生态公园、茶溪谷休闲公园、云海谷体育公园、主题酒店群和天麓地产等项目，其中，大侠谷、茶溪谷主题公园是其核心区域，是休闲度假的好去处。大侠谷是自然风光和惊险刺激的游乐项目的融合，你可以在海菲德（小城）体验浓郁而独具特色的美洲风情，在生态峡谷玩各种惊险刺激的探险项目，也可以漫步在峡湾栈道上，欣赏大瀑布和花园景观，或者到云中部落走上云顶观光区，纵览整个东部华侨城的景色，眺望山海。在大侠谷感受生态动感旅游文化的魅力，乘坐丛林缆车或者云海索道到云中部落，远离城市的喧嚣，从容的享受大自然带来的宁静与愉悦。此外，如果时间和预算比较充裕，华侨城还有云海谷高尔夫、茵特拉温泉，可以享受假日时光。,"{'儿童': [['身高1.2米（含）以下', '免费'], ['身高1.2m(不含)-1.5m（含）', '半价']], '老人': [['70周岁(含)以上凭身份证等有效证件', '免费'], ['持有颐年卡+深圳户籍身份证的长者、持有深圳市敬老优待证+本人身份证的长者', '免费'], ['年龄为65（含）-69（含）周岁凭身份证等有效证件', '半价']], '深圳户籍60周岁以上老人': [['凭身份证', '免费']], '残疾人': [['凭1-4级残疾证、凭1-6级军人残疾证（1-4级军残可免陪护一名）', '免费'], ['凭7-10级军人残疾证、香港及境外残疾证', '半价']], '军人': [['建军节当日，现役军人凭有效证件（士兵证，士官证，军官证，警官证，文职干部证，学员证，义务兵证）', '免费']], '现役军人': [['凭军官证（士兵证，士官证，军官证，警官证，文职干部证，学员证，义务兵证）（除建军节当天）', '半价']]}"
深圳平安金融中心云际观光层,Shenzhen Ping An Financial Center Yunji Sightseeing,4336342,46835160,22.533181,114.055639,地标观景|遛娃宝藏地,体验悬空观景台鸟瞰深港,0.0,0,4.9,15855,https://dimg04.c-ctrip.com/images/010581200087ce9u8C01A.jpg,180.0,120.0,135.0,100.0,1.5-2小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 2, 'isLiked': False, 'playSpendTime': '1.5-2小时', 'openTimeDesc': '1月29日-12月31日 10:00-20:00（19:15停止入园）', 'openDateRuleInfo': [{'dateDesc': '1月29日-12月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '10:00-20:00(最晚入园19:15)'}]}]}",云际观光层位于平安金融中心116层，以高空541米的超级视野，集观光娱乐、文化创意、科普教育于一体，是深圳颇具文化内涵的观光地标。在云际观光层，游客可360度鸟瞰深圳四方八面不同景观与城市风貌。云际观光层东向，地王大厦、京基100映带出醉美罗湖风光；西向，购物公园、深圳高尔夫、深圳湾、华侨城、前海蛇口自贸区等组成辽阔城市渐隐画卷；北向，远眺银湖山，近览笔架山、莲花山公园、市民中心、会展中心；南向，福田口岸与香港北区尽收眼底。这里是品味深圳繁华与自然辉映的好地点，大鹏扶云处饱览城市风光的独特体验。云际观光层涵盖透明观景区、互动体验区、特色展示区等多个功能空间，360度云端纵览，观光体验，震撼呈现。,"{'儿童': [['身高1.2米以下幼儿(不含1.2米)', '免费'], [' 身高为1.2米(含1.2米)至1.5米(不含1.5米)儿童', '半价']], '学生': [['凭学生证至售票处购买', '150元']], '教职工': [['学校教职工凭工作证或工牌至售票处购买', '150元']], '老人': [['60岁以上长者，凭身份证或颐年卡可享受优惠', '120元']], '残疾人': [['持有国家残联颁发的残疾证的残障人士、三等残疾军人持有有效证件（凭有效证件）', '半价']], '军人': [['现役军人本人有效证件，七级以上残疾军人凭本人有效证件', '半价']]}"
锦绣中华民俗村,Splendid China Folk Village,2776,75867,22.532394,113.988652,游乐场|演出场馆|嗨玩乐园,中国名胜缩影与民俗表演,0.0,0,4.6,10453,https://dimg04.c-ctrip.com/images/0100y12000947pyyq6C2B.jpg,179.36246659135372,110.0,165.0,110.0,4-8小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '如夜场开放，景区夜场开放时间18:00-21:00（其中锦绣中华区域18:00闭园），国家法定节假日夜场闭园时间为22:00，闭园前1小时停止入园，开闭园时间仅供参考，根据当日天气、活动等情况以景区当天公告为准。', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '4-8小时', 'openTimeDesc': '全年 09:30-22:00（21:00停止入园）；如夜场开放，景区夜场开放时间18:00-21:00（其中锦绣中华区域18:00闭园），国家法定节假日夜场闭园时间为22:00，闭园前1小时停止入园，开闭园时间仅供参考，根据当日天气、活动等情况以景区当天公告为准。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:30-22:00(最晚入园21:00)'}]}]}",锦绣中华民俗村由锦绣中华和中华民俗村两部分组成，前者有众多中国知名景观的缩影，让你“一日畅游中国”。后者有二十四个村寨的建筑可以体验民俗风情，还可以看五十六个民族的民俗表演。两个园区已经合并，购买一张门票即可。一般建议先上午游玩锦绣中华，下午玩民俗村，因为民俗村的大型表演时间都在下午。如果想要半天快速浏览，也可以考虑步行和电瓶车结合。班车形式固定，锦绣中华停靠点为孔庙，民俗村停靠点为摩梭寨，整个景区浏览一遍约25分钟。停靠时间为2分钟。锦绣中华主要看微缩景区及拍照，近百处按1:15的比例缩小的中国景点，堪称是中国自然风光与人文历史精华的集合。迷你版的长城、秦兵马俑、敦煌莫高窟、黄果树瀑布等名胜都可在此尽收眼底，因而有“一天游遍中华”之说。中华民俗村可以领略到中华56个民族所交织出的别样风情，你可以看到缤纷的少数民族服装、二十四个村寨的建筑风格以及各式民俗表演，令人目不暇接。其24个村寨全部按照１比１的比例修建，给人以身临其境的感觉，少数民族的村寨建筑风格更是独特，布依族的石头寨、摩梭人的木楞房、傣族的竹楼、蒙古族的蒙古包，藏族的喇嘛寺等，人们不时拍下一张张照片。园内更是有许多的参与项目，你可以切身体会，比如乌篷船、木笺船、独龙族溜索、骑马、射箭等。演出时间表及演出介绍可以提前查阅下官网链接。,"{'儿童': [['身高1.2米（含）米以下', '免费'], ['身高1.2米（不含）-1.5米（不含）', '半价']], '老人': [['70周岁（含）以上（凭身份证原件）', '免费'], ['65周岁（含）-69周岁（含）(凭身份证原件)', '半价']], '残疾人': [['持有国家残联颁发的《一、二等残疾证》', '免费'], ['持有国家残联颁发的《三等残疾证》或持有国外残联颁发的残疾证（一般没有等级），对旅行社组织的残疾人团队可视情况给予不低于半价门票的优惠', '半价']], '生日当天': [['生日当天（核验本人身份证原件出生日期）的人群', '半价']]}"
大梅沙海滨公园,Dameisha Waterfront Park,5812,76815,22.592442,114.307373,海滨沙滩|海滨玩水,当地知名的大型海滨浴场,0.0,0,4.6,1939,https://dimg04.c-ctrip.com/images/100d11000000qv7632621.jpg,49.9,49.9,49.9,49.9,3小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 7, 'isLiked': False, 'playSpendTime': '3小时', 'openTimeDesc': '1月1日-12月31日 07:00-22:00', 'openDateRuleInfo': [{'dateDesc': '1月1日-12月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:00-22:00'}]}]}",大梅沙海滨公园位于深圳特区东部，地处南海之滨。这里三面环山，一面临海，中间绵延1800米的开阔沙滩。公园内一派生机勃勃的亚热带海滨风光，深圳市民和外来游客都很喜欢来这儿享受海滨休闲的时光。公园的中心是太阳广场和月亮广场，一条“阳光走廊”连接其间。走廊内设有供游客休憩的磨光石凳，总有不少情侣来这儿散步约会。大梅沙海滨公园共分游泳区、运动区、休闲区、娱乐区、烧烤场等部分，有摩托艇、沙滩车、蹦极等游乐项目可供选择。和家人朋友相约来这儿聚会，看海、下海游泳或者玩水上项目都非常有意思。如果要下海游泳，公园内可提供冷热水冲凉和存包服务。特别需要注意的是，游泳时请千万不要超越防鲨网，注意安全，公园提供24小时防鲨网内义务救生服务。公园周边的食宿也比较方便，高端大气的餐厅到路边小店，普通旅馆到五星酒店都能找到，特色菜品是海鲜和乳鸽。另外，大梅沙常常是人满为患。如果不喜欢人多，可以选择往海滩边的栈道上走，这边比较清静，听海吹风也挺惬意的。沿着海岸线往东走大约两公里，就是小梅沙了，小梅沙收费但游人较少，环境也更好一些。小梅沙旁边是小梅沙海洋世界，感兴趣的话，可一并游览。,{}
深圳野生动物园,Shenzhen Safari Park,6037,76828,22.595659,113.970032,游乐场|萌萌动物|4A,观赏世界各地珍禽名兽,0.0,0,4.4,9718,https://dimg04.c-ctrip.com/images/10040z000000natl42559.jpg,199.0,140.0,128.9,340.0,0.5-1天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '暑期夜场：18:30~21:00（最晚入园20:00）', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '1月1日-5月11日 09:30-18:00；5月12日 ；5月13日-12月31日 09:30-18:00；暑期夜场：18:30~21:00（最晚入园20:00）', 'openDateRuleInfo': [{'dateDesc': '5月13日-12月31日', 'isCurrentTime': True, 'openWeekRuleInfo': [{'weekDesc': '09:30-18:00'}]}, {'dateDesc': '1月1日-5月11日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:30-18:00'}]}, {'dateDesc': '5月12日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '不开放'}]}]}",深圳野生动物园建于山清水秀的西丽湖畔，占地面积60多万平方米，是一家放养式的野生动物园，集野生动物保护、展览、繁育、环境科普教育为一体，是国家AAAA级精品景区，全国科普教育基地。园内放养着300多种，近万头（只）野生动物：大熊猫、大食蚁兽、长颈鹿、东北虎、耳廓狐、非洲狮、亚洲象、金丝猴、扬子鳄、海豚、海狮、海豹……来自世界各地的珍稀动物齐聚于此。“熊猫庄园”国宝卖萌、“大猫通道”老虎空中漫步、“猛兽谷”虎狮长啸、“猿猴群岛”长臂猿与金丝猴隔岸对歌、“天鹅湖”中各种天鹅自由游弋、“水母王国”百万水母款款绽放、、“冰雪世界”赏冰雕溜冰道，还有非洲之角、大食蚁兽馆、野象谷、袋鼠园、狐猴岛、鳄鱼湾、麦哲伦企鹅岛……精品展区星罗棋布。陆生动物、海洋动物双重体验，让你目不暇接。,"{'儿童': [['身高1.2米（含1.2米）以下（每张成人票限带1名），检票时请主动出示有效身份证件', '免费'], ['儿童1.2米（不含）-1.5米（含）', '优惠']], '老人': [['70周岁（含70周岁）以上，检票时请主动出示有效身份证件', '免费'], ['年龄：65周岁（含）~69周岁（含）', '优惠']]}"
湾区之光摩天轮,Ferris wheel of light in Bay Area,112647075,112647075,22.541374,113.887672,地标观景|遛娃宝藏地,,0.0,0,4.6,509,https://dimg04.c-ctrip.com/images/0103q1200097s9gusAB59.png,130.0,130.0,99.0,80.0,0.5-1小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '每月最后一个周二为月检日，当天不开放，具体月检日期如有调整以景区官方公布为准。', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1小时', 'openTimeDesc': '全年 周一,周三-周四 11:00-22:30（22:00停止入园） 周二 17:00-22:30（22:00停止入园） 周五-周日 10:30-23:00（22:30停止入园）；每月最后一个周二为月检日，当天不开放，具体月检日期如有调整以景区官方公布为准。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一,周三至周四', 'weekDesc': '11:00-22:30(最晚入园22:00)'}, {'weekTime': '周二', 'weekDesc': '17:00-22:30(最晚入园22:00)'}, {'weekTime': '周五至周日', 'weekDesc': '10:30-23:00(最晚入园22:30)'}]}]}",“湾区之光”摩天轮位于深圳欢乐港湾东端，由华侨城集团倾心打造，联合“伦敦眼”打造团队，欧洲STARNETHENGINEERING团队和巨马集团，融合全球先进的设计建造技术。摩天轮总高128米，28个进口轿厢，每个面积约16.8平方米，可容纳25人。采用鱼鳍状异形大立架，造型来自海洋的奇想，不仅有着的开阔视野，更是结构走向艺术的突破。上下客分流系统，合理配置人流动线，椭球回转式太空舱为国内首创。全天景回转式轿厢，超稳定系统，让乘客扶摇直上如履平地。随着摩天轮缓慢旋转，人们不仅可以将轿厢外迷人的风景尽收眼底，还能拥有更多特别的“高空体验”。为体验打造的专属轿厢，为浪漫而生的婚礼轿厢，为舌尖之旅准备的美食轿厢，为儿童打造专属生日Party，为聚会定制的闺蜜下午茶，为游客带来了不一样的高空之旅。作为深圳上空高的摩天轮，也是国内全天景回转式进口轿厢摩天轮，华灯初上，“湾区之光”点亮城市夜空，与海景、公园构成一副浪漫画面，成为粤港澳大湾区的梦幻地标。,{}
欢乐港湾,Happy Harbor,5711027,94560231,22.543775,113.882227,地标观景|遛娃宝藏地,,0.0,0,4.5,445,https://youimg1.c-ctrip.com/target/01045120008jzv66b7F31.jpg,130.0,130.0,99.0,80.0,0.5-1小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '本周五3月24日营业时间调整为（17:00-22:30）', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1小时', 'openTimeDesc': '全年 周一,周三-周五 10:30-22:00（21:30停止入园） 周二 17:00-22:00（21:30停止入园） 周六-周日 10:30-22:30（22:00停止入园）；本周五3月24日营业时间调整为（17:00-22:30）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一,周三至周五', 'weekDesc': '10:30-22:00(最晚入园21:30)'}, {'weekTime': '周二', 'weekDesc': '17:00-22:00(最晚入园21:30)'}, {'weekTime': '周六至周日', 'weekDesc': '10:30-22:30(最晚入园22:00)'}]}]}",欢乐港湾位于宝安中心区南部滨海，拥有深圳西部45公里的海岸线，欢乐港湾前身为宝安滨海文化公园，是将海景、公园、生态与商业融合的当代艺术文化街区。项目总占地约38万平方米，涵盖了占地约27万平方米的海滨文化公园、高度为128m的“湾区之光“摩天轮、建筑面积为2万平方米的“湾区之声”演艺中心、建筑面积约8万平方米的东岸、西岸亲海体验式商业街区、建筑面积约1万平方米的JW万豪酒店光之翼等多元业态。未来将打造成集滨海休闲、文化旅游、艺术体验、生态办公为一体的“国际湾区之心 滨海生活创想地”。,{}
蛇口,Shekou,145402,10521334,22.483427,113.91617,地标观景|遛娃宝藏地,多功能的对外开放口岸,0.0,0,4.7,221,https://dimg04.c-ctrip.com/images/10020q000000gigjpC283.jpg,218.0,218.0,218.0,218.0,3-4小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-4小时', 'openTimeDesc': '全年 06:15-22:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '06:15-22:00'}]}]}",蛇口工业区位于深圳南头半岛东南部，东临深圳湾，西依珠江口，与香港新界的元朗和流浮山隔海相望，属于南山区，占地面积10.85平方公里。是招商局全资开发的外向型经济开发区。,{}
