名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
湖光岩,Huguangyan,22826,81215,21.138815,110.285448,4A|游山玩水|亲近大自然,我国现存的三座火山湖之一,0.0,0,4.4,1078,https://dimg04.c-ctrip.com/images/0105s120008anwbcyF637.jpg,0,0,0,0,2-4小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-4小时', 'openTimeDesc': '具体营业状态以当天开放情况为准'}",湖光岩风景区位于湛江市区西南部约19公里处，是著名的湖光岩火山口风景区。湖光岩大约形成于20万年前，是我国现存的三座火山湖之一，也是世界上除德国的Manderscheid之外仅存的玛珥湖。这里的地质特征兼有海岸地貌、构造地质地貌等多种地质遗迹，自然风光极好。湖光岩为中国玛珥湖的典型代表，湖底的沉积物真实的记录了十多万年以来古气候、古环境的变化情况，蕴藏着丰富的热带亚热带气候环境的变化的信息，被专家们誉为“天然环境变迁年鉴”。湖光岩为火山垣环抱，湖水清澈如镜，湖四周悬崖陡壁，火山岩层理、韵律清楚。公园内古树难天，古藤缭绕，植被茂盛，有一片高密度空气负离子区，堪称“天然氧气吧”，人在湖滨漫步，倍感心旷神怡。园区历史悠久，早在隋朝时期，佛教僧人就依岩而建楞严寺、白衣庵等古刹，宋朝丞相李纲题写的摩崖石刻“湖光岩”存留至今。关于玛珥湖：玛珥湖是一种极其稀有的火山湖，是由火山爆发冷却后，陆地上下沉的积水形成所致。湖水因为来自于地下水的渗透，具有天然的自我净化功能，所以无论旱涝都永远不会干涸。,"{'儿童': [['1.2米以下儿童', '免费'], ['1.2米-1.5米儿童', '优惠票']], '老人': [['持有老年人优待证的70岁以上老年人', '免费']], '学生': [['中小学生（含中专、高中）、大学生凭学生证', '优惠票']], '残疾人': [['凭有效证件', '免费']], '军人': [['驻地现役军人凭有效证件', '免费']], '离休人员': [['凭有效证件', '免费']], '退休人员': [['凭退休证', '优惠票']]}"
湛江红嘴鸥游船,Zhanjiang Black-headed Gull Cruise,140939,101522,21.258931,110.40295,海滨玩水|亲近大自然,乘船欣赏湛江港两岸风光,0.0,0,4.5,821,https://dimg04.c-ctrip.com/images/100o1f000001gp2sy2A82.jpg,158.0,158.0,158.0,0,1-2小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '游船班次：10:00,15:00。其他航次视情况增开，游船时间约80分钟。'}",湛江红嘴鸥游船位于赤坎区保利天悦湾水上运动中心，湛江航运集团斥巨资建造的一艘集观光、旅游、饮食、娱乐于一体的游船，作为“港湾揽胜”（湛江八景之一）精品线路游启动。湛江红嘴鸥游船是一艘集观光、旅游、饮食、娱乐为一体的游船。在这里不仅可以吹吹海风，观赏下海景，还可以近距离观看到货运码头、军港、南油基地、领略湛江港两岸风光。,"{'儿童': [['身高在1.2米(不含)以下', '免费']]}"
赤坎老街,,1452180,30055548,21.275339,110.357578,街区漫步,步行街集合了众多特色小铺,0.0,0,4.6,395,https://dimg04.c-ctrip.com/images/0106512000aox5qb2F1FB.jpg,0,0,0,0,,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准', 'likeCount': 0, 'isLiked': False, 'openTimeDesc': '全年 全天开放；具体营业状态以当天开放情况为准', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",湛江赤坎步行街旧称法国大马路，整条街仅长400多米，却有着近百年的商业历史。如今步行街集合了众多特色小铺，吸引了很多游客前来购物。步行街距离世贸大厦很近，逛完步行街还可以去世贸大厦看一看。,{}
鼎龙湾国际海洋度假区,Wuchuan Loong Bay,5073330,56810081,21.391939,110.900347,体验慢生活|4A|亲近大自然|海滨玩水|海滨沙滩|度假村,,0.0,0,4.6,159,https://youimg1.c-ctrip.com/target/0101o120009elzu5r54DF.jpg,150.0,80.0,108.0,98.0,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '水世界 【2023 年 4 月 29 日开园】淡季营业时间：全天：13:00-21:00；旺季（7-8 月、中秋国庆）：全天：13:00-22:00、夜场：17:00-22:00。\n欢乐海岸小镇：全年9:00-22:00', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 09:00-22:00；水世界 【2023 年 4 月 29 日开园】淡季营业时间：全天：13:00-21:00；旺季（7-8 月、中秋国庆）：全天：13:00-22:00、夜场：17:00-22:00。\n欢乐海岸小镇：全年9:00-22:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-22:00'}]}]}",【德萨斯水世界】德萨斯水世界主题公园占地约500亩，由专业水上乐园设计公司“美国WTI”主笔设计、设备由“欧洲”Polin公司及加拿大白水西部制造及施工。以美国德克萨斯州牛仔文化以及石油开采热潮等文化融入景区，配以当地沙漠景观，整个景区充满美国西部风情。7大区域32种游乐设备，日接待能力达5万人次，以超大体量、超刺激项目打造的水上游乐体验。众多技术在全国甚至全球位于前列，包括约13000㎡的真空造浪池、亚洲超长303米的水上过山车、定制的穿山蛇滑道、亚洲超长巨峡激流河佩科斯河谷。阿拉莫海·海啸造浪池13000平超大面积，全球罕见！可容纳万人戏水！真空造浪高达3米，任你徜徉在人群与海浪中尽情比浪。响尾蛇峡谷·穿山蛇滑道全球专属的穿山蛇滑道，高达18米，整条滑道的表面犹如一条生动的响尾蛇，鳞片清晰可见，给你最直观的感官刺激。303米超长水上过山车揽山瞰海303米超长水上过山车，玩转刺激在阿拉莫海，让你玩转心跳，畅快尖叫。德萨斯沙尘恶魔园区内大喇叭滑道，按照家庭4人筏进行设计，大有可玩，适合家庭、团体一起接受挑战。【海狮馆】呆萌可爱的海狮是欢乐的来源，数十个表演节目，带来欢乐的温馨时光。【畅玩嘉年华】德萨斯牛仔小镇拥有超多类型的游戏项目，12个大区域、约150种游戏项目，让成年人像孩子一样为之迷恋，刺激好玩又解压，让你放肆浪一浪。 刺激的摇摆牛仔、萌萌的旋转啤酒桶、浪漫的旋转木马、可远观海景的时光摩天轮、超适合亲子一起打卡的5大主题户外机动游戏设备。【海田温泉】鼎龙湾海田温泉水源于地下约3000米深处岩石断裂层，富含矿物质，从两处深井取水，一号井出水温度45°，二号井出水温度55°。属于偏硅酸氟泉。【遇见唯美海景】你想象中的冬日的海是怎样的？无论你见过或不曾见过，鼎龙湾的海都值得被你期待，愿你能看到你曾期待过的样子。拥有绵延16公里的黄金海岸线的鼎龙湾，必将让你的旅途变得与众不同，沙滩大海、椰林树影、日月星辰，你对大海的所有幻想，这里都有。【打卡网红景点】鼎龙湾·海之角栈道——向海中央延伸300米的海之角栈桥，是观海及拍照的圣地。鼎龙湾·海风习习展览馆——红白相间墙体，蓝天白云与萌趣石狗雕塑相绕，是鼎龙湾拍照打卡之处。鼎龙湾·婚礼广场——在海之畔，与心爱之人携手漫步于此，与蓝天，白云，碧海，青草相伴，道不尽的浪漫与唯美。【观看园区缤纷演出】丰富多彩的牛仔欢乐巡游，欢乐有趣的小丑互动、动感热辣的舞蹈、激昂人心的乌干达鼓舞……各种表演轮番上阵，为你带来热情洋溢的视听享受！,"{'儿童': [['身高在1.2米(含)以下的', '海狮馆免费'], ['身高在1.2米(不含)-1.5米(含)', '海狮馆优惠'], ['身高在1.2米(不含)以下', '水世界免费'], ['身高在1.2米(含)-1.5米(含)', '水世界优惠']], '老人': [['55周岁(含)以上凭身份证', '海狮馆优惠'], ['年龄在60周岁(含)以上', '水世界优惠']], '学生': [['全日制大中小学生凭学生证', '海狮馆&水世界优惠']], '现役军人': [['凭军官证/士兵证', '海狮馆&水世界优惠']], '残疾人': [['凭残疾人证', '海狮馆&水世界优惠']]}"
霞山观海长廊,Sea Viewing Promenade,136008,97640,21.210338,110.421713,海滨沙滩|海滨玩水|演出场馆,欣赏种类丰富的棕榈植物,0.0,0,4.5,531,https://dimg04.c-ctrip.com/images/0106y120009d9v3b6116F.jpg,0,0,0,0,1-2小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '全年 全天开放；具体营业状态以当天开放情况为准', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",湛江观海长廊工程南起海淀路北至海洋路，全长约1.7公里，根据其地形现状分为南、中、北三个区（南区860米，中区150米，北区690米），总面积为156公顷（南区6.38公顷，中区3.5公顷，北区5.12公顷）。南区较狭长，以紫荆广场居中，两翼园道收分有致，曲弯自如，特别是北翼的园道曲直对比，同时节点连结灵活，小型空间收放得体。南区的绿化品种繁多，组团结合，乔木、灌木及地被三个层次分明，28种花木共21005株，草皮23490平方米。观海长廊中区地形宽广，分东西两面（东面13149平方米，西面32000平方米）东面冠名“观海台”，有园路通绕，整体以草地为主。西面空旷草坪呈四方形，植油棕两行于三条伸侧边。花木共11261株，草皮45149平方米。北区以“海螺广场”为主，种植不同棕榈植物。其花木品种达28种，共24181株，草皮9600平方米。南、中、北三区从整体来看形象修长，中区带动南、北两翼，总共硬底铺装面积达10万平方米，呈现一派南国风光特有的海滨城市景观。整洁下99工程年8月1日动工，11月5日全部完工。停在霞山观海长廊上的巨型客轮“海上城市”也是一大景观。船长160米，高近20米，站在船顶，海湾美景、城市风光尽收眼底。,{}
鼎龙湾德萨斯水世界,Texas Water World,3980171,39803410,21.399007,110.905846,亲水乐园|嗨玩乐园|水乐园,富有美国西部风情的水乐园,0.0,0,4.2,494,https://youimg1.c-ctrip.com/target/0101y120009exrzrgD639.jpg,132.25863077823288,80.0,102.45582211819777,92.45582211819777,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '5月6日-6月30日 12:30-20:30（19:20停止售票，19:30停止入园）；7月1日-8月31日 12:30-21:30（20:30停止售票，20:40停止入园）', 'openDateRuleInfo': [{'dateDesc': '7月1日-8月31日', 'isCurrentTime': True, 'openWeekRuleInfo': [{'weekDesc': '12:30-21:30(停止售票20:30,最晚入园20:40)'}]}, {'dateDesc': '5月6日-6月30日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '12:30-20:30(停止售票19:20,最晚入园19:30)'}]}]}",德萨斯水世界坐落于湛江市吴川碧桂园﹒鼎龙湾国家海洋生态度假区内，选取了地理位置及自然条件非常接近的美国德克萨斯州作为项目的主题设计元素，将牛仔文化以及以往的石油开采热潮等文化主题融入园区，配以当地的风化沙漠景观，充满美国西部风情。德萨斯水世界共设七大区域，分别是达拉斯城、阿拉莫海、响尾蛇峡谷、黑金油田、仙人掌镇、佩科斯河谷、格兰德河谷。在这七大区域内，设置有大型造浪池、互动水寨、漂流河、儿童戏水乐园以及水上过山车、穿山蛇滑道、大喇叭滑道、大碗滑道、冲天回旋滑道、合家欢滑道、急速滑道、水环人体滑道等三十多种滑道组合。,"{'儿童': [['身高在1.2米(不含)以下的', '免费'], ['身高在1.2米(含)-1.5米(含)之间的', '优惠票']], '学生': [['全日制大中小学生凭本人学生证', '优惠票']], '老人': [['年龄在60周岁(含)以上的老人凭身份证', '优惠票']], '现役军人': [['凭军官证、士兵证', '优惠票']], '残疾人': [['凭残疾人证', '优惠票']]}"
特呈岛,Techeng Island,51596,83984,21.188828,110.41847,海滨沙滩|海滨玩水|游山玩水|亲近大自然,湛江湾水道中的天然良港,0.0,0,4.2,792,https://dimg04.c-ctrip.com/images/3503180000013zsk4725E.jpg,38.0,38.0,38.0,25.0,3-4小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '进岛登船时间：8:30//10:30//12:30//14:30//16:30//17:30//19:00\n出岛登船时间：8:45//10:45//12:45//14:45//16:45//17:45//19:15', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-4小时', 'openTimeDesc': '全年 08:30-19:15；进岛登船时间：8:30//10:30//12:30//14:30//16:30//17:30//19:00\n出岛登船时间：8:45//10:45//12:45//14:45//16:45//17:45//19:15', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-19:15'}]}]}",特呈岛又称“红岛”，红土地、红怪石等。岛内空气清新，气候四季如春，有1000多亩树龄近500年的国家重点保护红树林、400多年历史的洗太庙、抗日革命旧址，还有白沙滩、红怪石（火山石，有较高科研、欣赏价值）。特呈岛地处热带和亚热带气候，终年平均气温在21—22度之间，四季如春；空气质量优良，海水水质清澈见底，岛上有近百棵参天古榕和断续分布的热带灌丛，沙滩3公里，且沿岸有近千亩受国家保护的天然红树林。“特呈”是古越语，“特”即地方，“呈”是和谐吉祥的意思。岛上村民，世代以捕鱼为生。,"{'儿童': [['身高1.2米以下', '免费'], ['身高1.2（不含1.2米）-1.5米（不含1.5米）之间', '优惠']], '老人': [['60岁（含）以上老人持身份证和老年证', '优惠']], '学生': [['持学生证', '优惠']], '现役军人': [['持军官证', '优惠']], '残疾人': [['持残疾证', '优惠']]}"
东海岛,Donghai Island,51540,83946,21.013021,110.542268,海滨玩水|游山玩水,风景秀丽，盛产多种水果,0.0,0,4.4,353,https://youimg1.c-ctrip.com/target/0104c120005rfzk5zE4D2.jpg,0,0,0,0,4小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '4小时', 'openTimeDesc': '全年 07:30-19:00（19:00停止入园）；具体营业状态以当天开放情况为准', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:30-19:00(最晚入园19:00)'}]}]}",东海岛是一个平坦而开阔的大海岛，面积286平方公里，在全国排行第五。东海岛岛上人口大约15万，传统以出海打鱼和种棺木薯、番薯、甘蔗、花生等旱地作物为生。近年，种植北运蔬菜，养殖龙虾、鲍鱼、对虾、螃蟹、牡额及珍贵鱼类等已逐渐上升为主业。东海岛水果有香蕉、芒果、树菠萝等，“东海香瓜”是当地的特产，比一般的香瓜短，犹似苹果，亦称“苹果瓜”，甜且脆。“东海人龙舞”提这里的特有民间艺术，是人搭人构成的长龙。,{}
中国大陆南极村,Southest Village of China Mainland,5069376,56810132,20.221544,109.92533,,地形犹如牛角,0.0,0,4.5,129,https://dimg04.c-ctrip.com/images/100q1b000001blrjj1992.jpg,0,0,0,0,2-3小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 全天开放；具体营业状态以当天开放情况为准', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",中国大陆南极村位于广东省徐闻县西南部，被琼州海峡与北部湾所环绕，地形犹如伸向大海的牛角，面积37平方公里，人口3.2万人。,{}
硇洲岛,Naozhou Island,145406,10521338,20.886219,110.561675,海滨玩水|游山玩水|亲近大自然,欣赏著名的硇洲灯塔,0.0,0,4.1,146,https://dimg04.c-ctrip.com/images/0104t1200085xjtcaCBFE.jpg,0,0,0,0,1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1天', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",硇洲岛， 古称硭，是一个大约20—50万年前由海底火山爆发而形成的海岛，也是中国第一大火山岛，位于广东省湛江市东南约40公里处，北傍东海岛，西依雷州湾，东南面是南海，纵深是太平洋，总面积约56平方公里。硇洲岛是“湛江八景”之一，美曰：“硇洲古韵”。它是湛江市的岛外之岛，风景秀丽，一年四季气候宜人。岛中名胜古迹众多，有南国著各的旅游度假胜地—那晏海石滩，有十分理想的天然海浴场，有与伦敦、好望角灯塔齐名的世界著名三大灯塔之一—硇洲灯塔。古迹有：宋皇城遗址、祥龙书院、八角井、宋皇碑、宋皇亭、宋皇村、赤马村以及窦振彪墓和“宫保坊”等。,{}
