名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
珠海长隆海洋王国,Zhuhai Chimelong Ocean Kingdom,1408240,10762535,22.097889,113.537526,嗨玩乐园|游乐场|演出场馆,亚洲首台水上过山车,0.0,0,4.7,39647,https://dimg04.c-ctrip.com/images/010381200093y491i499F.jpg,395.0,280.0,395.0,280.0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '【7月景区内项目营运时间】\n海洋大巡游 15:00 \n水上飞人大汇演 16:00 \n超级猛犸大巡游 17:00 \n海洋夜光大巡游 19:15 \n海洋幻彩烟花秀 20:00 \n海鸟世界 19:00 \n游乐设施 营运至 20:00\n动物展馆 营运至 20:00 \n海豚湾区、雨林飞翔区、海象山区、 英雄岛区、极地探险区 营运至 20:00 \n25米/40米雨林升降塔、 鹦鹉过山车、中华白海豚、海豚岛、海狮港湾、海象岛   营运至 19:45 \n\n【8月景区内项目营运时间】\n海洋大巡游 15:00 \n水上飞人大汇演 16:00 \n超级猛犸大巡游 17:00 \n海洋夜光大巡游 19:15 \n海洋幻彩烟花秀 20:00 \n海鸟世界 营运至19:00 \n游乐设施 营运至 20:00\n动物展馆 营运至 20:00 \n海豚湾区、雨林飞翔区、海象山区、 英雄岛区、极地探险区 营运至 20:00 \n25米/40米雨林升降塔、 鹦鹉过山车、中华白海豚、海豚岛、海狮港湾、海象岛   营运至 19:45 \n\n以上营运时间如有变动，请以现场公告为准', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '7月1日-8月31日 10:00-20:00；【7月景区内项目营运时间】\n海洋大巡游 15:00 \n水上飞人大汇演 16:00 \n超级猛犸大巡游 17:00 \n海洋夜光大巡游 19:15 \n海洋幻彩烟花秀 20:00 \n海鸟世界 19:00 \n游乐设施 营运至 20:00\n动物展馆 营运至 20:00 \n海豚湾区、雨林飞翔区、海象山区、 英雄岛区、极地探险区 营运至 20:00 \n25米/40米雨林升降塔、 鹦鹉过山车、中华白海豚、海豚岛、海狮港湾、海象岛   营运至 19:45 \n\n【8月景区内项目营运时间】\n海洋大巡游 15:00 \n水上飞人大汇演 16:00 \n超级猛犸大巡游 17:00 \n海洋夜光大巡游 19:15 \n海洋幻彩烟花秀 20:00 \n海鸟世界 营运至19:00 \n游乐设施 营运至 20:00\n动物展馆 营运至 20:00 \n海豚湾区、雨林飞翔区、海象山区、 英雄岛区、极地探险区 营运至 20:00 \n25米/40米雨林升降塔、 鹦鹉过山车、中华白海豚、海豚岛、海狮港湾、海象岛   营运至 19:45 \n\n以上营运时间如有变动，请以现场公告为准', 'openDateRuleInfo': [{'dateDesc': '7月1日-8月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '10:00-20:00'}]}]}",珠海长隆海洋王国位于珠海长隆国际海洋度假区，是全球较大型的海洋主题乐园之一。公园共分为八大主题区，集各类珍稀海洋动物展馆、动感游乐设施、3大剧场表演于一体，还可享受环球滋味美食和购物乐趣，精彩不容错过。八大主题区进入大门的通道是一个魔鬼鱼的造型，大型屏幕在上方不停地播放着海底世界动物，这就是第一个区域海洋大街。海洋大街的两旁是购买纪念品的地方，这里主要以迎宾、观光、购物休闲为主。过了海洋大街的通道后，左边的区域由南至北依次是海象山、缤纷世界、极地探险。海象山是以水为主题的，生活着南美海狮、南非海狗等动物，还可以参加激浪帆船、超级激流等游乐项目；缤纷世界是海洋王国中的亲子乐园，比较适合家长带着孩子一起游玩；极地探险以冰雪景观为主，这里可以看到可爱的企鹅、北极熊及白鲸。海洋大街右边的区域由南至北依次是海豚湾及雨林飞翔区。海豚湾顾名思义以海豚观赏为主；雨林飞翔区的游艺设备是整个园区较为刺激惊险的，有很多游艺项目，可以体验一下鹦鹉过山车，它爬升近20层楼的高度，然后飞速而下。而和海洋大街一条中轴线上的则是横琴海及海洋奇观。横琴海区域有音乐喷泉及晚上的烟花表演。海洋奇观是一个大型的鲸鲨展馆，鲸鲨馆内饲养有非常多品种的珍稀鱼类。游玩建议整个主题乐园的所有区域都有不同的游艺设备及海洋动物，大门口就有地图可拿，推荐的玩乐点有极地探险的企鹅馆、海洋奇观的鲸鲨馆和雨林飞翔区的过山车。可以提前结合想要看的表演时间安排好大致行程。推荐的表演有极地剧场的海豚表演，精彩绝伦！表演的具体时间表可查询官网。,"{'儿童': [['游园当日年龄3周岁(不含)以下或身高1米(不含)以下', '免费'], ['游园当日年龄3周岁(含)-12周岁(不含)或身高1米(含)-1.5米(含)', '优惠']], '老人': [['游园当日年龄已满65周岁的长者', '优惠']], '青少年': [['游园当天年龄12周岁(含)-18周岁(不含)且身高1.5米(不含)以上的未成年人', '优惠']], '残疾人': [['凭国家民政部、残联、部队核发的有效残疾军人证及残疾证与居民身份证验证入园', '优惠']]}"
珠海长隆度假区,Zhuhai Chimelong Resort,1408228,10762530,22.097826,113.541601,度假村|嗨玩乐园|演出场馆|游乐场|体验慢生活,海洋主题乐园与度假酒店,0.0,0,4.7,3427,https://dimg04.c-ctrip.com/images/0101y12000a5ftul8A082.jpg,280.0,280.0,280.0,280.0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '度假区全天开放，内部景点及演出开放时间详见各景点详情页。', 'likeCount': 8, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放；度假区全天开放，内部景点及演出开放时间详见各景点详情页。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",珠海长隆国际海洋度假区地处珠海横琴新区，包括长隆海洋王国、横琴岛剧院等众多主题乐园，以及横琴湾酒店、企鹅酒店、马戏酒店等豪华主题酒店，配套设施完善，是周末与亲朋好友出游的好去处。游玩建议整个度假区为一水的海洋风格建造，面积很大，要想一次性玩遍整个景区，呆一天肯定是不够的。白天可以在海洋王国与珍稀的鲸鲨、白鲸、北极熊和其它可爱动物见面，挑战鹦鹉过山车，体验从20层楼高度飞速而下的刺激和360度翻转的疯狂。晚上的横琴海有绚烂的烟花表演，大约在晚上8点开始，或者去国际马戏城欣赏马戏表演。横跨欧亚非的150多位马戏表演艺术家将为你倾情奉上无比惊艳的表演节目，360度全景式多视角视觉体验，带给你国际马戏饕餮盛宴。住宿餐饮预算充足的话，可以入住在园区内豪华的横琴湾酒店，带着小朋友的家长还可以选择极具特色的马戏酒店和企鹅酒店。各酒店内都有风格各异的自助餐厅，提供中式、日式、西式及亚洲风味美食，满足不同人群的需求。除了吃住方便，住店客人去景区还可以走优先通道，不用排队，节假日人多的情况下十分省心。此外，你还可以选择夜宿鲸鲨馆，在鲸鲨馆内搭帐篷，和可爱的大鲸鲨一起入睡，体验与白天完全不同的奇幻旅程。,"{'儿童': [['游园当日年龄3周岁(不含)以下或身高1米(不含)以下', '免费'], ['游园当日年龄3周岁(含)-12周岁(不含)之间或身高1米(含)-1.5米(不含)之间', '优惠']], '老人': [['游园当日年龄已满65周岁的长者', '优惠']], '青少年': [['游园当天年龄12周岁(含)-18周岁(不含)之间且身高1.5米(含)以上的未成年人', '优惠']], '残疾人': [['凭国家民政部、残联、部队核发的有效残疾军人证及残疾证', '优惠']]}"
珠海横琴长隆国际大马戏,Chimelong Hengqin International Circus City,5707514,82496185,22.099156,113.543339,看演出|特色演出,感受高超杂技艺术的震撼,0.0,0,4.4,992,https://dimg04.c-ctrip.com/images/0101o12000a5fwhvw1D80.jpg,349.7028502122498,349.7028502122498,349.7028502122498,259.70285021224987,2-3小时,"{'openStatus': '未开园', 'openStatusType': 2, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '【温馨提示】\n节假日及高峰期间，请提前至少45分钟入园，谢谢！\n具体演出时间如有变动，以现场公告为准。', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '7月1日-8月31日 15:30-21:15；【温馨提示】\n节假日及高峰期间，请提前至少45分钟入园，谢谢！\n具体演出时间如有变动，以现场公告为准。', 'openDateRuleInfo': [{'dateDesc': '7月1日-8月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '15:30-21:15'}]}]}",长隆2020焕新升级！以“魔戒”为造型灵感的长隆横琴国际马戏城，携世界金奖马戏团队，联袂献上一场精彩的马戏盛宴——《横琴长隆国际大马戏》。汇聚来自全球20多个国家和地区，30多支团队、300多名世界各地的优秀马戏艺术家，融合了高空技巧、滑稽表演、萌趣动物和惊险杂技等多种艺术门类轮番上演，马戏艺术家们尽显奇技，为大家带来一场美妙的视听盛宴。,"{'儿童': [['观演当日年龄未满12周岁（不含），或身高未超过1.5米（含）的儿童；如不符合相应条件，需按适用票种补差价。', '优惠']], '青少年': [['观演当日12周岁（含）~18周岁（不含）且身高超过1.5米（不含）以上的未成年人', '优惠']]}"
外伶仃岛,Wailingding Island,2836,75886,22.099139,114.042128,游山玩水|4A|海滨沙滩|亲近大自然|海滨玩水,游山玩水吃海鲜并眺望香港,0.0,0,4.4,1269,https://dimg04.c-ctrip.com/images/10030z000000mjc2kBC95.jpg,150.0,150.0,150.0,0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",外伶仃岛地处珠江入海口，岛上游客比较少，景色也十分优美。在岛上，你可以爬伶仃峰，也可以在海滨泳场游泳，随意享用美味的海鲜和烧烤，度过一个悠闲假期。爬山岛中央主峰伶仃峰高约311.8米，看着其实不算高，但由于斜坡多，爬起来相当累人。攀登时先经过相思林，然后往上是观景台，观景台再往上不多远就是北帝晨钟和许愿井；过后还要爬很久到达万山棋局，然后到石景公园，公园已经很接近山顶了。沿途鸟瞰全岛，从上往下看海洋、岛镇，还可以看山上嶙峋怪石、飘渺云雾组成的美景。游泳游泳一般在海滨泳场，这边海水质一般，但是看看海玩玩水还是蛮开心的。另外过了伶仃湾拱桥有一条沿海山路叫做情侣路，能够从伶仃湾通到相思林度假山庄，那一条山路是看海的好地方。路外边是无数巨大的礁石，以及隐藏在礁石间的一些小海滩。（请务必小心礁石，并且有些海滩不开放的，看看即可）。吃海鲜来岛上另外个惊喜点，应该就是海鲜了。从进岛码头走向海滨泳场时，会经过一条海鲜街，岛上的居民用白色泡沫箱装了各种海鲜在卖。你可以在这边买了找店家加工即可，价格很实惠，另外这里还有烧烤一条街和酒吧街。如果过夜，夜宵也不用愁了。住宿住宿的话，有酒店和帐篷，酒店建议提前订好住宿，岛上有便宜的招待所类型的酒店也有别墅比如相思林度假山庄，可以根据自己心里价位选择。如果租帐篷的话，可以到当地付租金，然后贵重物品可以到旁边小卖部租一个储物柜来保存。,"{'儿童': [['年龄6周岁（不含）以下并且身高不超过1.2米（不含）的儿童', '免费'], ['年龄6周岁（含）至14周岁（不含）且身高1.2米（含）至1.5米（不含）', '优待票']], '老人': [['60周岁（含）以上', '优待票']]}"
澳门环岛游,Macau's Round-the-island Tour,11542,10758170,22.191454,113.534409,亲近大自然,不出关也能一览澳门风情,0.0,0,4.4,3109,https://dimg04.c-ctrip.com/images/10091f000001gsmjh2494.jpg,150.0,120.0,150.0,82.0,1-2小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '全年 09:00-20:30', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-20:30'}]}]}",澳门环岛游称得上是珠海市极具特色的经典旅游项目，一直广受游客欢迎，这条航线是由观光游船从湾仔旅游码头出发，航行60-90分钟。沿途除了可以欣赏到“浪漫之城”珠海的旖旎景色，又可以同时近距离接触渔人码头、南海观音像、葡京娱乐场、中银大厦、旅游观光塔、澳督府、妈阁庙等澳门特色景点，一睹“东方蒙特卡罗”的迷人风采。如果选择夜游船只，游人更可以欣赏到澳门这座不夜城在海风中散发出的五彩斑斓的魅力。,"{'儿童': [['6周岁（不含）以下或身高1.2米（不含）以下（需至少一名成人购票携带登船）', '免费'], ['6周岁（含）至14周岁（不含）或身高1.2米（含）至1.5米（不含）', '优惠']], '老人': [['65周岁(含)以上，凭本人有效证件', '优惠']]}"
东澳岛,Dong'ao Island,2838,75888,22.019594,113.713289,游山玩水|4A|海滨沙滩|亲近大自然|海滨玩水,享热带风情访历史遗迹,0.0,0,4.3,723,https://dimg04.c-ctrip.com/images/1004hk1439nplkxw0FA02.jpg,150.0,150.0,150.0,150.0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",东澳岛位于珠海万山群岛中部，植被丰富，沙滩众多，充满了自然古朴的热带海岛风情。你还可以爬上斧担山蜜月阁登高望远，游览建于清朝乾隆年间的古堡铳城，或是在岛上品尝新鲜地道的海鲜。南沙湾在东澳岛，吸引人的要数沙滩，东澳岛有南沙湾、大竹湾、小竹湾三个沙滩，尤以南沙湾有名。南沙湾位于南沙湾码头，如果是在东澳湾码头下船需要乘坐10元的小火车前往。它的沙滩温暖细腻，还不时有躲藏在沙底的螃蟹吐出气泡，你可以在沙滩上捡贝壳，捉螃蟹，拍照，换上泳衣，到水里玩水。或者就在沙滩边呆着，享受清爽的海风，闲庭信步一番。在海边看着广阔的大海，总让人觉得心情平静。斧担山除了海岛本身的魅力，东澳岛还可以爬山，沙滩西北部的有个叫做斧担山的山峰。山的主景为蜜月阁，蜜月阁需要经历1008级台阶可至，墙壁上刻满了历代文人的诗词。登高望远，澳门的凼仔大桥依稀可见，如果你是在岛上入住一晚，还可以在第二天赶一个大早爬上蜜月阁看日出。历史遗迹岛上还有历史遗迹可看，在东澳岛的东部，可以发现建于清朝乾隆年间、为抵御外族入侵而修建的古堡铳城——东澳岛铳城，以及于层层山林中隐匿着“万海平波”字样的石刻，颇值得玩味。岛上住宿东澳岛上设施比较完善，酒店有仙泉山庄（位于东澳湾和南沙湾码头之间，在岛的中间，比较安静，适合晚上不出街的游客，也方便观日出）和东澳岛度假村别墅酒店（位于南沙湾码头，整个海岛沙滩的一家海景酒店，离沙滩仅200米）、东澳湾绿色家园（位于东澳湾码头，比较正规的小酒店）、游艇俱乐部，价格一般在200-400元/天，此价格一般是打包售卖，包含往返船票，可以网上自行找代理。沙滩上可以租帐篷，一个100元，包过夜。岛上用餐岛上一般就是吃海鲜，鱼大部分都来自于岛民的收获。餐厅比如有东发海鲜酒家、超记海鲜餐厅、永盛海鲜酒家，价格都还算适中。,{}
情侣路,Lovers' Road,46146,10558923,22.349301,113.62258,街区漫步,吹海风漫步并遥望澳门,0.0,0,4.6,2560,https://dimg04.c-ctrip.com/images/100v1f000001h1dgrF226.jpg,0,0,0,0,2小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2小时', 'openTimeDesc': '全天开放'}",长达28公里的情侣路临海而建，是珠海的城市名片。珠海渔女像就位于情侣路中部，作为美丽与希望的化身，也是珠海市的标志。很多游人都会来此吹着海风漫步，享受悠闲惬意的时光。情侣路的路面全部由方正的砾岩铺成，道路途经海湾大酒店、九洲港、金怡酒店、海滨泳场、珠海渔女、香炉湾等多个风景旅游点。需要骑行全程的话，这里提供专用的两人或三人连体自行车租借服务，租借点在拱北附近或者名亭公园（野狸岛）门口，野狸岛里面也有。当然，大部分来这里的人们还是以步行为主。可能因为路名吧，来这里的情侣真的非常多，步行大部分的是走的中段，也就是有珠海渔女的这段，比较有名。白天经常有人在这里拍摄婚纱照，晚上有很多情侣和夫妻在路上迎着街灯散步，很是浪漫。而珠海的婚礼流程单中，情侣路也是婚嫁花车必经之地，象征着幸福，所以赶快带着自家爱人来走一走情侣路吧。,{}
世界之窗,Window of the World,2778,75869,22.534698,113.972928,嗨玩乐园|游乐场|演出场馆,看全球名胜缩影环游世界,0.0,0,4.4,23930,https://dimg04.c-ctrip.com/images/350r180000014u9yq3222.jpg,160.0,110.0,168.0,110.0,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 10, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 09:00-21:30（21:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-21:30(最晚入园21:00)'}]}]}",世界之窗正像它的名字那样，是一扇展现世界名胜的窗口的主题乐园，里面有世界各知名景点的缩影。除外，这里还有世界各地的风情表演，日本茶道、非洲风情歌舞秀等，等待你的观赏。景区按世界地域结构和游览活动内容分为世界广场、亚洲区、大洋洲区、欧洲区、非洲区、美洲区、雕塑园区、国际街。一般的游览顺序是世界广场（入口）-亚洲区-大洋区-非洲区-美洲区-欧洲区-雕塑园区、国际街区-世界广场（出口）。可以边参观各式建筑物拍照，边选择自己感兴趣的表演观看。世界广场主要看各式风格的门和浮雕墙，这是世界之窗的入口，是旅程开始的地方。大部分的游客会从中华门开始行程，中华门的外形是中国雍和宫门的样子。亚洲区、大洋洲区、欧洲区、非洲区、美洲区在这不同的园区里，你可以看到以1:1、1:5、1:15等不同比例仿建的世界著名景观，比如泰国泰王宫、印度泰姬陵、澳大利亚悉尼歌剧院、巴黎雄狮凯旋门、意大利比萨斜塔、埃及金字塔、阿蒙神庙、柬埔寨吴哥窟、美国大峡谷等，仿制的惟妙惟肖。在这，你可以看到众多知名景观的缩影。它是个小世界，特别适合拍照，也帮助你了解世界各地的景色，对哪里敢兴趣了，也不妨计划下明年的旅程去感受下真实的场景。这里还有世界各地的风情表演，你可以选择性的观看，演出时间表可参看以下官网，需要注意的是部分表演需要另外收费，具体园内其它收费项目情况也可以现在官网查询。国际街类似于一般游乐场吃东西买纪念品的地方，你可以品尝到世界各地的风味大餐及德国啤酒、夏威夷雪糕等，还可以买到各国的工艺品。,"{'儿童': [['日场+夜场：儿童身高1.2米以下（含）', '免费'], ['日场：1.2米-1.5米（含）', '优惠票']], '老人': [['满70周岁以上长者', '免费'], ['深圳户口女士满60周岁，男士满65周岁凭身份证，或持《深圳市敬老优待证》的深圳户籍长者', '免费'], ['满65周岁-70周岁（不含70周岁）的长者', '半价']], '军人': [['日场：一至六级残疾军人持证、“建军节”当日现役军人持证', '免费'], ['日场：现役军人、七至十级残疾军人持证', '半价']], '残疾人': [['日场：一至二级残障人士持证持证', '免费'], ['日场：三至四级残障人士持证、境外残障人士持有效的本人残疾证', '半价']], '学生': [['日场：全日制在读大学生（本科、专科）凭本人身份证及在读大学生证现场扫码购票', '168元']], '青少年': [['日场：身高1.5米（不含）以上，年龄18周岁（不含）以下的青少年游客凭证现场扫码购票', '130元']], '当天生日人群': [['日场：生日当天凭本人身份证', '半价']]}"
珠海横琴国家地理探险家中心,National Geographic Ultimate Explorer,5603407,69634112,22.123528,113.518268,科技馆|探秘展馆,,0.0,0,4.8,3824,https://dimg04.c-ctrip.com/images/1lo2c12000bqtyg0sF2F3.jpg,174.33333333333331,174.33333333333331,174.33333333333331,0,2-3小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '1月1日-12月31日 10:00-18:00（17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '1月1日-12月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '10:00-18:00(最晚入园17:00)'}]}]}",珠海横琴国家地理探险家中心位于横琴创新方3楼，为孩子和家长带来独特的沉浸式娱乐学习体验，这里是集游乐、探险、科普、亲子互动为一体的家庭互动体验中心，包含了丰富的游览内容和充满启发性的课程，例如宇宙出发、野外竞速、极限远征等近十五种精心打造的多媒体沉浸式体验项目，以探险自然和科学为基础，透过先进的VR和AR等高科技互动设备，为孩子和父母提供一个真正的家庭冒险体验之旅。,"{'儿童': [['身高1米(不含)以下的宾客免门票进入场馆;一名18岁以上成年人购票宾客限带一名具有免票资格的宾客入场。', '免费']]}"
海上看港珠澳大桥,A boat tour of Hong Kong Zhuhai Macao Bridge,4379372,50714439,22.23882,113.592968,亲近大自然,乘车乘船欣赏港珠澳大桥,0.0,0,4.3,589,https://dimg04.c-ctrip.com/images/100i1f000001gp4yv64FB.jpg,218.0,133.0,218.0,96.0,1.5-2小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '常规开航时间：10:10、14:10、16:15、19:45。具体以当天公布为准。', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '1.5-2小时', 'openTimeDesc': '全年 07:00-20:30；常规开航时间：10:10、14:10、16:15、19:45。具体以当天公布为准。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:00-20:30'}]}]}",“海上看珠海”旅游航线是目前大湾区的热门旅游项目之一，从珠海九洲港出发。海上游全程100分钟，航程中更有精彩的演艺节目。游客无需签证，即可两次穿越港珠澳大桥，全视角饱览珠海海岸风景，零距离感受世纪工程港珠澳大桥。,"{'儿童': [['年龄不超过6周岁(不含)或身高1.2米(不含)以下（须在预订成人票或长者票后根据订单页面提示预约免票成功后方可登船，每位购票成人限带2位免票儿童，超出部分须购儿童票）', '免费'], ['年龄6周岁(含)-14周岁(不含)或身高1.2米(含)-1.5米(不含)的未成年人', '优惠']], '老人': [['65周岁（含）以上\n\n\n', '优惠']]}"
