名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
海陵岛,Hailing Island,23038,81351,21.580409,111.847363,海滨沙滩|潜水冲浪|海滨玩水|游山玩水|亲近大自然|热爱运动,享优质海水浴场品尝海鲜,0.0,0,4.4,1689,https://dimg04.c-ctrip.com/images/100r1f000001goq94FA09.jpg,26.7,26.7,26.7,26.7,1-2天,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全天开放'}",海陵岛位于阳江市，是广东的第四大岛，这里不仅有优美的海景和好的海水浴场，还有吃不腻的海鲜可以大饱口福，是旅游度假的理想之地。岛上主要游玩景点集中在西南角海滨，主要游玩景点有闸坡大角湾、马尾岛、十里银滩和海上丝绸之路博物馆（南海一号），除上述景点外，还有望海亭、小港湾、北洛环（铁帽子）、牛塘山文化览胜景区和金沙滩风景区等景区。旅馆多集中在大角湾附近，经济旅馆到酒店都有，所以这里通常是游客集散地。白天来到海陵岛，可以在大角湾海滨浴场游泳，这边的浪比较大，海滩区不仅可以扑浪、游泳、散步，还可以玩水上单车、沙滩摩托车、香蕉船等自费娱乐设施，还可以去淡水区，这边主要是海上乐园，可以玩螺旋道、炮筒、雪橇滑道、波浪毯、彩虹滑道等惊险刺激的水上运动，适合年轻人来玩。从大角湾沿着海岸线往西，还可以从闸坡中心渔港乘船出海去到马尾岛，渔港中心有很多船家，有的专做游客出海游的生意。在海上，可以远眺海陵岛上的巨型风车，看远处马尾岛渔民家的渔排，和其他船上的游客打招呼，感受大海环绕的融洽与自然。大角湾往东走，则是十里银滩和南海一号。特别值得一提的是半路上的大角咀，这里只是一条山路，并不是景点，但是这条路上可以远眺无尽的南海景色，十里银滩的全景也可尽收眼底。如果想要看日出，这里也是较好的观景地。需要注意的是，大角咀拍照留念的游客很多，自驾的话可能会停车不便。十里银滩没有大角湾的大浪，在这里主要玩沙滩车和飞艇，不建议游泳。坐沙滩车可以轻松横跨十里银滩，领略十里银滩作为吉尼斯世界纪录较长海滩的魅力与风光。在海上丝绸之路博物馆，可以看到当年打捞出来的南海一号沉船，还可以看到瓷器、饰物等出土文物，对历史文物感兴趣不妨来这里看看。夜游海陵岛，一个是螺洲海滨公园，基本上游客都会聚集在这里游玩；另一个就是购物天堂“一夜埕”，这里可以买到很不错的当地海鲜，不妨买一些带回去送朋友。推荐晚饭后从放生台出发，这里也是白天的看海点。沿海滩散步到海滨公园，这是个开放式的公园，沙滩可以放烟花，旁边还有个小吃街可以买点宵夜。然后，去到一夜埕采购特产。,{}
闸坡大角湾,Zhapo Dajiao Bay,23017,81331,21.569034,111.847259,海滨沙滩|潜水冲浪|海滨玩水|5A|亲近大自然|热爱运动,群峰环抱的纯净海湾,0.0,0,4.3,2391,https://dimg04.c-ctrip.com/images/0105m120009f6q4um28A9.jpg,52.40195016251354,24.0,24.0,0,0.5-1天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '5月9日-10月15日 08:00-21:00（19:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '5月9日-10月15日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-21:00(最晚入园19:00)'}]}]}",大角湾是海陵岛的知名海湾，位于海陵岛闸坡镇东南，三面群峰环抱，面向浩瀚南海，因形如牛角，从而得名。大角湾滩长2.5公里，湾内风平浪静，沙质细腻松软、海水清澈纯净，空气清新，是旅游度假的好去处。游玩大角湾可以欣赏这里的浪漫海景，踏浪戏沙，尽享海滨时光。景区还冲浪、摩托艇、动力伞、沙滩车等娱乐项目，都可以体验一番。,"{'单次票免费人群': [['身高在1.2米(不含)以下儿童、年龄在70周岁(含)以上的老人凭有效证件、现役军人及残疾人凭有效证件免票', '单次票免费']], '单次票优待人群': [['身高在1.2(含)-1.5(含)米儿童、年龄在60周岁(含)至69周岁(含)的老人凭身份证购、学生凭学生证、阳江籍市民凭身份证实行半价优惠。', '单次票半价']], '多次票免费人群': [['身高在1.2米(不含)以下儿童、年龄在70周岁(含)以上凭有效证件免票', '多次票免费']], '多次票优待人群': [['身高在1.2(含)-1.5(含)米儿童购半票。', '多次票半价']], '儿童': [['大角湾夜场啤酒节身高在1.2米(不含)以下的儿童免票入园', '免费']]}"
十里银滩,Shili Silver Beach,23019,81333,21.568159,111.87065,海滨沙滩|潜水冲浪|海滨玩水|亲近大自然|热爱运动,超长海岸线的魅力风光,0.0,0,4.4,657,https://dimg04.c-ctrip.com/images/350s15000000xlink3791.jpg,0,0,0,0,2-3小时,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 07:00-19:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:00-19:00'}]}]}",十里银滩位于海陵岛中南部，它是海陵岛的众多海滩之一。十里银滩的特点在于海岸线很长，它的海岸线长达16.5公里，金色长滩，一望无际。往海上丝绸之路博物馆的路上，就可见到碧海向金沙涌去的景象。这里沙质洁净均匀，水质清澈透明，是一处海边戏水的好地方。十里银滩另外一个优势是在于干净及人少，这里距离旅游大道比大角湾远，所以游人要比大角湾少。大角湾相对人较多，所以旺季的时候就像下饺子般，而这里的人群就要少很多了，可以图个清静。十里银滩没有大角湾的大浪，在这里主要玩沙滩车和飞艇，不建议游泳。坐沙滩车可以轻松横跨十里银滩，领略十里银滩作为上海大世界基尼斯纪录较长海滩的魅力与风光。除此之外，和一般的海滩一样，这里也设有帆船、游艇、水上垂钓、冲浪等水上项目以及沙滩排球、足球等体育活动项目，可以选择感兴趣的游玩，据说冲浪很不错。结束了，继续往南走就是海上丝绸之路博物馆，有兴趣的可以放一条线上游玩掉。,"{'儿童': [['1.2米（不含）以下免费', '免费'], ['1.2米（含）-1.5米（含）儿童', '优惠票']], '老人': [['70周岁（含）以上凭老年证或身份证免费', '免费']], '军人': [['现役军人凭军官证免费', '免费']]}"
广东海上丝绸之路博物馆,Guangdong Maritime Silk Road Museum,143358,10548667,21.572223,111.873958,博物馆|演出场馆,探秘南海1号古沉船,0.0,0,4.4,1020,https://dimg04.c-ctrip.com/images/35090y000000lm320337E.jpg,63.0,63.0,63.0,63.0,1-2小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '全年 09:00-17:30（17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-17:30(最晚入园17:00)'}]}]}",广东海上丝绸之路博物馆（加挂南海I号博物馆牌子）座落于广东省阳江市海陵岛十里银滩，以“南海I号”宋代古沉船发掘、保护、展示与研究为主题，展现考古现场发掘动态的专题博物馆，被誉为世界三大沉船博物馆之一，现为国家二级博物馆、国家AAAAA级旅游景区。馆内基本陈列“丝路船说、南海I号的前世今生”面积达到10000多平方米，展线长1500多米，展出文物超过3000件。展览紧紧围绕“南海I号”主题，展现其发现、水下发掘探摸、整体打捞、保护发掘等历程，分扬帆、沉没、探秘、出水、价值、遗珍、成果七个展区。基本陈列主要展出“南海I号”出水的数十种珍贵文物，包括充满异域风情的黄金饰品，朴素典雅的中国陶瓷，极其罕见的宋代漆器等。展区内的水晶宫向公众开放“南海I号”发掘现场，观众可近距离地观看考古学家发掘“南海I号”全过程，通过展厅内声光电多媒体场景，AR/VR虚拟现实，体验“南海I号”出帆远洋，搏击风浪和货通万国的浪漫故事，感受古代海上丝路恢宏灿烂的历史。“南海I号”古沉船是1987年在广东省川山群岛阳江海域附近偶然发现的海外贸易商船，是在广袤南海发现的以遗址海域命名，即依考古惯例命名为“南海I号”的重要沉船遗址。从1989年至2004年，国家文物局先后8次组织水下考古队对“南海Ⅰ号”进行考古调查、勘探。2007年12月28日，按照“整体打捞、原址保护、就地展示”保护方案，“南海Ⅰ号”成功实现了的整体打捞，成功移放在海丝馆的“水晶宫”。2009年和2011年，“南海Ⅰ号”进行了两次室内试发掘。2013年11月28日，“南海Ⅰ号”的全面保护发掘正式启动。考古发掘确认“南海I号”是一条满载各类货物的南宋时期沉船，残长22.15米、宽9.35米，共发现15道隔舱，属于我国古代三大船型之一的福船类型。已发掘清理出土、出水器物包括陶瓷器、铜铁器、金银器、漆木器、钱币、朱砂、动植物残骸、植物果核、人类遗骸等，出土文物18万余件，展现了我国宋代繁盛的海外贸易体系，对研究我国乃至整个东亚、东南亚的古代造船史、陶瓷史、航运史、贸易史等有着重要意义，为海上丝绸之路的千年传承、我国与沿线国家商业与文化交流提供了坚实论据，是海上丝绸之路的重要标志。,"{'免票人群：': [['身高在1.2米(含)以下或年龄在6周岁(含)以下凭有效证件的儿童；年龄在65周岁(含)以上的老人凭身份证或老人证；现役军人、残疾军人、优抚对象、军队离退休干部持本人有效证件；身心残障者凭本人有效证件', '免费']], '优惠人群：': [['身高在1.2米(不含)-1.5米(含)之间的儿童；年龄在6周岁(不含)-18周岁(含)的未成年人凭身份证；全日制大学本科及以下学历的学生凭本人有效学生证', '优惠票价'], ['年龄在60周岁(含)-64周岁(含)之间的老人凭身份证；持省级宗教团体颁发有效证件的宗教人士；由民政部门确认的低保救助对象、五保户', '优惠票价']]}"
月亮湾滨海度假区,Moon Bay Binhai International Tourism Resort,23032,81345,21.51534,111.503584,海滨沙滩|海滨玩水,踏浪戏沙享迷人海岸线,0.0,0,4.1,220,https://youimg1.c-ctrip.com/target/0102a1200085ez1taEA12.jpg,38.0,38.0,38.0,38.0,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '1月1日-12月31日 08:00-18:00', 'openDateRuleInfo': [{'dateDesc': '1月1日-12月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-18:00'}]}]}",月亮湾拥有迷人的海岸线，这里沙白水清，不论是海滨漫步，还是冲浪、捡贝壳、看日出日落，都非常享受。月亮湾的海滩呈孤形展开，犹如一弯新月落在南海之滨。海滩两侧峭壁高耸，礁石林立，风景十分优美。海滩上可以租借太阳伞，并设有海滨浴场，这里也是海上冲浪的去处。游玩后，也可前往沙扒镇品尝一顿海鲜大餐。,{}
海陵岛红树林国家湿地公园,Hailing Island National Wetland Park of Mangrove Forest,2491652,34303775,21.642891,111.972633,演出场馆|亲近大自然|游山玩水|森林草原,景色优美的海滨湿地,0.0,0,4.1,587,https://dimg04.c-ctrip.com/images/10011f000001h35g0CDE8.jpg,0,0,0,0,0.5-1天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 07:30-18:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:30-18:00'}]}]}",海陵岛红树林国家湿地公园位于海陵岛东北部神前湾，现有红树林面积480亩。主要树种有无瓣海桑、秋茄、白骨壤、拉关木、桐花树；大型底栖动物共有13目34科66种；鱼类有3目7科11种；两栖类统计出5科6属6种，均为无尾目种类；爬行类主要为蜥蜴目3科4属5种；周边区域共有鸟类17目48科275种。属国家重点保护的有28种，属于广东省重点保护的有49种，CITES附录物种有21种，国家三有保护的有168种。海陵岛红树林湿地公园内有全市首条建在海上的跨海木栈道，四个观景凉亭，该公园是以亚热带红树林湿地为风景特征、以生态保护为主、以观光休闲和科普教育为辅的多功能生态公园，是今年海陵岛评出的“新八景”之一。,{}
马尾岛,Mawei Island,23022,81335,21.567154,111.815452,海滨沙滩|海滨玩水|游山玩水,观日落的好地点,0.0,0,4.3,102,https://dimg04.c-ctrip.com/images/100n1f000001gpcfg4EEF.jpg,0,0,0,0,3小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3小时', 'openTimeDesc': '具体营业状态以当天开放情况为准'}",马尾岛位于闸坡西南方，是半封闭型海岛，总面积1.3平方公里，海滩长约1.25公里，水深适度、海底平缓、沙质优良，有“海水大浴缸”之称，适合老人儿童玩乐。马尾岛的北帝庙，供奉“水神”北帝，渔民出海前总虔诚地来这里奉香以求平安。值得一提的是“马尾夕照”，这里是海岛的较西角，观日落的好地点，当晚彩霞漫天时，许多游人驻足于此等待。岛上森林植被丰富，怪石遍布，虫鸣蝶飞，林荫小道弯弯曲曲，保留着很浓的原始气息。山体被海浪千年万载的冲刷雕琢，形成了乱石滩、海蚀滩、一线天等奇异景观。除了观瞻北帝庙、灵曰灵庙和灯塔外，还有碉堡、战壕、古炮台等军事遗址。,{}
海陵岛天麓山海旅游度假区,Hailing Island Tianlu Shanhai Tourist Resort,4571133,51548666,21.582868,111.843558,度假村,,0.0,0,4.2,62,https://dimg04.c-ctrip.com/images/1lo5c12000bwxhput7FEA.jpg,58.0,40.0,58.0,40.0,1-2天,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年（日场） 08:00-19:00；全年（夜场） 19:00-22:00', 'openDateRuleInfo': [{'dateDesc': '全年（夜场）', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '19:00-22:00'}]}, {'dateDesc': '全年（日场）', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-19:00'}]}]}","海陵岛天麓山海旅游度假区，临近大角湾，三面观海，是海陵岛鸟瞰全海景的观景地。景区借助山、海、湾的资源优势，运用低碳环保理念，发挥自然魅力，以区域的海洋文化、疍家文化为核心，建设包括生态旅游综合区、疍家文化小镇、主题度假空间三大主题板块，打造滨海人文内涵和森林生态为特色，展示完整的山海休闲生活度假模式体验，集登山探险、野外拓展、休闲观光、养生度假、科普教育、民俗文化体验为一体的滨海山地综合生态度假区。
天麓山海度假区位于海陵岛进出必经之路的闸坡隧道正顶端，有优美的海景和优质深林绿化资源，是旅游度假的理想之地。站在山上放眼眺望，群峰起伏，峰峦千姿百态，整个疍家风情小镇、闸坡渔港和沙滩及周边乡村美景，都被尽收眼底。从远处看并不觉得风车雄伟高大，但是走近一看，不得不惊叹它的壮观与美丽。","{'儿童': [['身高在1.2米(不含)以下或年龄6周岁(含)以下', '免服务费'], ['身高在1.2米(含)-1.5米(不含)之间', '优惠']], '老人': [['年龄在65周岁(含)以上的老人凭身份证', '免服务费'], ['60周岁(含)-65周岁(不含)', '优惠']], '军人': [['现役军人、现役消防官兵', '免服务费']], '医务工作者': [['凭相关工作证件', '免服务费']], '残疾人': [['凭相关证件', '免服务费']], '北极村委会、莳元村委会所属村民': [['凭本人身份证', '免服务费']], '学生': [['凭相关学生证件', '优惠']], '阳江市民': [['凭本人身份证', '优惠']]}"
北洛秘境悬崖泳池,Beiluo Secret Cliff Pool,112648009,112648009,21.558069,111.819321,演出场馆|避暑纳凉,,0.0,0,2.8,27,https://dimg04.c-ctrip.com/images/0103512000a0p8ax40165.jpg,80.0,80.0,80.0,80.0,1-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-3小时', 'openTimeDesc': '4月10日-12月31日 09:00-18:00', 'openDateRuleInfo': [{'dateDesc': '4月10日-12月31日', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-18:00'}]}]}",                           ,{}
北洛秘境山体公园,,5715961,124908198,21.562409,111.823162,登高爬山,,0.0,0,4.1,21,https://dimg04.c-ctrip.com/images/0104y120009jhjf1sDDD9.jpg,80.0,80.0,80.0,0,0.5-1天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-1天', 'openTimeDesc': '全年 09:00-18:00（17:30停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '09:00-18:00(最晚入园17:30)'}]}]}",8公里临海环岛生态栈道，依山而筑、波澜起伏。栈道盘山而上，坡度平缓，游客拾级而上，可近距离感受惊涛拍岸，更可欣赏壮美的海上日出朝晖及日落晚霞。,"{'老人': [['65周岁（含）以上（免费进入沙滩地面泳池）', '免费'], ['60周岁（含）-65周岁（不含）', '半价']], '儿童': [['身高1.2米（不含）以下（免费进入沙滩地面泳池）', '免费'], ['身高1米（不含）以下（免费进入山体公园）', '免费']], '军人': [['现役军人（凭军人证）', '免费']], '残疾人': [['凭残疾人证', '免费']], '学生': [['凭学生证', '半价']]}"
