名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片,成人票价格,老人票价格,学生票价格,儿童票价格,建议游玩,开放时间,介绍,优待政策
丹霞山,Mount Danxia,1408735,10773677,25.021712,113.721126,5A|游山玩水|亲近大自然,露天的地质博物馆,0.0,0,4.6,5731,https://youimg1.c-ctrip.com/target/0104l1200048mguv521D1.jpg,100.0,50.0,50.0,0,1-2天,"{'openStatus': '开园中', 'openStatusType': 0, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '外山门票务中心、长老峰票站24小时对外售票，疫情期间里面售票站全部关闭，统一在外山门票务中心售票。', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2天', 'openTimeDesc': '全年 全天开放；外山门票务中心、长老峰票站24小时对外售票，疫情期间里面售票站全部关闭，统一在外山门票务中心售票。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '全天开放'}]}]}",丹霞山也被称为中国红石公园，位于韶关市仁化县和浈江区境内，是广东省面积较大的以丹霞地貌景观为主的风景区。它与鼎湖山、罗浮山、西樵山合称为广东四大名山。每年11月底到12月左右，丹霞山成片的枫树会挂满红枫，与丹崖赤壁相映生辉，别具一番风韵。丹霞山是科学之山和文化之山。它由多座顶平、身陡、麓缓的红色砂砾岩构成，是全世界1200处丹霞地貌中类型齐全、造型独特、景色优美、地质地貌十分典型的地区，所以也称之为“露天的地质博物馆”。同时景区内拥有世界上罕见的貌似神凝的阳元石、阴元石、双乳石、睡美人等景点，又使丹霞山有“天然的性文化博物馆”之称。此外，丹霞山还有悠久、丰厚的历史文化内涵，以及丰富多彩的人文特点，拥有舜帝南巡奏韶乐、女娲造人补天等许多美丽动人的传说故事。景区拥有众多摩崖石刻和碑刻、80多处神奇的古山寨和岩庙、锦石岩的尼姑庵和广东十大禅林之一的别传禅寺，以及神秘的悬棺葬和岩棺葬，都具有较大的历史文化价值，既是珍贵的文化遗产，又是重要的旅游资源。,"{'儿童': [['身高1.2米(不含)以下', '免费'], ['身高在1.2米(含)-1.5米(不含)', '优待票']], '老人': [['70周岁(含)以上凭有效证件', '免费'], ['60岁(含)至69岁(含)之间凭身份证', '优待票']], '军人': [['现役军人凭有效证件', '免费']], '记者': [['新闻署颁发记者凭有效证件', '免费']], '残疾人': [['残疾人凭有效证件', '免费']], '书画家（省级）、摄影家（省级）': [['凭有效证件', '免费']], '学生': [['在校本科或本科以下学生凭有效学生证', '优待票']], '韶关本地居民': [['凭身份证', '优惠票']]}"
仙门奇峡,Ruyuan Tianjing Mountain Xianren Bridge,140613,101249,24.626627,113.061005,登高爬山|游山玩水,奇山秀水中的世界地质奇观,0.0,0,4.9,3927,https://youimg1.c-ctrip.com/target/350n1e000001f3adx356B.jpg,75.8,44.8,44.8,44.8,3-6小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeHolidayDesc': '元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 08:30-17:30开放(最晚入园16:30)', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '3-6小时', 'openTimeDesc': '全年 周一-周五 09:00-17:30（16:30停止入园） 周六-周日 08:30-17:30（16:30停止入园）；元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 08:30-17:30开放（16:30停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '09:00-17:30(最晚入园16:30)'}, {'weekTime': '周六至周日', 'weekDesc': '08:30-17:30(最晚入园16:30)'}]}, {'dateDesc': '元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节', 'holidayOpenDesc': '08:30-17:30开放(最晚入园16:30)', 'isCurrentTime': False}]}",仙门奇峡旅游风景区位于南岭山脉广东韶关市乳源瑶族自治县洛阳镇，占地20多平方公里，属南方罕见的地陷地貌，是南岭山脉核心景区之一，唐代宰相张九龄曾赞美比作南岭山脉的一串珍珠，是一个融文化科教、运动娱乐、旅游观光、研学旅行、康养度假为一体的多元化的旅游度假景区。景区风景秀丽，宛如人间仙境，有闻名天下的八大特色：一门(仙门)、一道、一桥（仙人桥）、一观（元妙道观）、一瀑（水帘洞瀑布）、双漂(竹筏漂流、皮艇漂流（开发中）)、三峡谷情侣峡、聚龙峡、仙人峡)、三溶洞 [ 财神洞、盘古龙宫、溶洞酒店（规划）]。1、 仙门奇峡竹筏漂流仙门奇峡竹筏漂流全长约3公里，往返约90分钟。游客乘坐竹筏在情侣峡来回穿梭，呈现出一幅“情侣峡波光潋滟，秀水涧竹筏穿梭”的秀美画卷。峡谷两岸的悬崖峭壁千姿百态，似神仙出入；百鸟鸣叫犹如情侣对歌；植物种类丰富，是名副其实的“植物大观园”。唐代宰相张九龄曾美言：“情侣峡谷赛漓江，仙门通往西京道。”2、西京古道西京古道是岭南古驿道之一，是军道、官道、商道，自古就是岭南与中原的通道，也是中原文化进入岭南的窗口，更是古代秀才、举人进京赶考的仕途道。3、仙门奇观传说，盘古开天辟地，女娲来“仙门奇峡”取乳源七彩石补天，形成了天然的仙门、仙人桥。仙门连接峡谷两边，中间为巨大的天坑，高138米，内拱106米，宽53米，长156米，秀、奇、峻、美，令人称绝，为中国较大的巨型天门。唐代宰相张九龄慕名而来。4、仙人桥仙门架起了天然的桥梁，连接了西京古道，仙人桥是全国范围内很是壮观的天然拱桥，桥长198米、宽98米，高出河面198米。仙人桥底部还有“仙人送子”和“仙人指路”奇特景观。传说，盘古开天劈地，天工开物，女娲来“仙门奇峡”取乳源七彩石补天，由此形成了仙人桥。5、灵霄宝殿灵霄宝殿（元妙道观）位于仙门顶部，供奉道家三尊，因祈福灵验，香客鼎盛，祈福、祈愿、还愿的人士络绎不绝。6、仙门滑道仙门滑道全长666米。滑道从仙门顶的灵霄宝殿旁开始，一直绵延至仙门门口，沿途奇峰险峻，山水相依，风光秀丽，还能由上而下观赏壮观的仙门，惊险刺激。滑道有透明防护罩保障安全，工作人员为游客做好安全防护措施，提供安全坐垫、手套等防护工具，确保万无一失，于鬼斧神工的仙境中自由穿梭。7、阳元石阳元石是一根阳性十足的擎天之石，大展雄风，与丹霞山的阳元石，分别屹立在不同山脉，守护着“生命之门”——仙门。传说，盘古开天劈地，女娲来“仙门奇峡”取石补天，由此形成了阳元石，九条飞龙与美丽的凤凰都争睹它的刚劲雄姿风采，美誉“龙凤朝阳”。民间盛传，男人朝拜能够多吸收阳刚之气，天地精华，使之更自信；女人朝拜能够促进家庭和谐，子孙昌盛。8、水帘洞（瀑布）水帘洞（瀑布）高约137米，宽约16米。峭壁上，植被枝繁叶茂，山水由山峰倾泻、飞流直下，连绵不断，气势恢宏。其间，负离子迸发，清爽扑鼻，令人瞬间豁然开朗。瀑布至山腰间，一洞口为水帘所遮掩，形成水帘洞景象。又因水帘洞附近的灵猴时隐时现，洞内万象难以触及，更添增了西游神话色彩。仙门奇峡 • 水帘洞由此便成为了人们休闲旅游、祈福、寄情山水的佳境。9、五指山五指山源自吴承恩笔下《西游记》，一个真实的神话，系天工开物时安放在西游迷踪的路上（灵猴岛和水帘洞、灵霄宝殿的中间）。相传，当年佛祖将五指化作金木水火土五座联山，翻掌一扑时，飞石乱溅，其一巨石降临仙门奇峡。后来，人们对大自然与造物者的这个“馈赠”进行了雕琢，使之成为祈福、穿越时空传递欢乐祥和的景致。10、仙人像山不在高，有仙则名。仙人像是峭壁上的岩石经雨水冲刷、风沙侵蚀、日光照晒，自然变化形成的仙人景象。仙人像隐藏于高山峭壁处，符合神话传说中：“便于察看周边环境、维护百姓安宁，同时在接近天庭的地方，保持与天庭紧密的联系。”的记载。因神灵的意境，仙人像成为了祈福、接收点化的重要通道。慕名而来的游客，越来越多。11、财神洞（仙人洞）财神洞是典型的喀斯特岩溶地貌，有许多造型奇异的钟乳石、石幔、石笋、石花等，有的似仙山琼阁，有的像神仙聚会，有的如龙飞凤舞、飞禽走兽，有的宛若村寨梯田......具有非常高的观赏和科研价值。传说，八仙中的曹国舅在此处得道升仙，洞内有神仙修炼台、财神引路像等，故名“财神洞（仙人洞）”。12、石来运转（岩中神树）“岩中神树”又称“石来运转”，一边是树抱石，一边是石包树，树石结缘，紧密相连，永不分离，被誉为当今国内奇秀的奇观。此景就像是《红楼梦》里贾宝玉与林黛玉的“木石前盟”，木是林黛玉，石是贾宝玉，“木、石”是前生定下的姻缘，这“岩中神树”正是“木石姻缘”在大自然里的真挚表现。13、灵猴岛（开发中）灵猴岛位于情侣峡半岛（同心鹊桥左侧对面），因是300多只野生猕猴的主要栖息地而得名。这些灵猴经常在丛林里攀跳啼鸣，戏水玩闹。它们的存在不仅增添了景区的野趣，更印证了景区生态环境的优越性。人、自然界与动物和谐共处，这是人们心神向往的地方。14、月亮湾（开发中）月亮湾位于情侣峡、雅玛湖与聚龙峡的交汇处，因三面环水、形似月亮而得名。在月亮湾半岛上，可以尽情饱览峡谷、原生丛林带来的宁静致远，享受大自然景色、清鲜空气带来的美妙体验。15、仙人指路“仙人指路”位于仙门顶部右侧，是峭壁上的岩石在大自然神力作用下，潜移默化间融化、凝结而成的“人手指路”景观。百米悬崖峭壁上，徒见指路，不见其人，仙人也。仙人指向的方向，已成为连通仙灵意境与人间烟火的主要通道。,"{'现役军人/残疾人': [['特等/一等/二等残疾人凭残疾证+身份证，现役军人凭军人证+身份证', '免费']], '儿童': [['6 周岁（含）以下或身高 1.2 米（含）以下', '免费'], ['身高 1.2 米（含）-1.4 米（不含）', '优惠票']], '老人': [['年龄 70 周岁（含）以上，凭本人身份证', '免费'], ['年龄 60 周岁（含）-69 周岁（含），凭本人身份证', '优惠票']], '学生': [['年龄 6 周岁-18 周岁青少年、全日制大学本科及以下学生，凭本人学生证', '优惠票']], '其他': [['低保救助对象及五保户持本人相关有效证件', '免费']]}"
云门山旅游度假区,Yunmen Mountain Natural Scenic Area,1990753,30491720,24.81337,113.3263,游山玩水|亲水乐园|高空行走|亲近大自然|登高爬山,适合全家老少一同出游,0.0,0,4.4,2013,https://youimg1.c-ctrip.com/target/100e1h000001ht7gxB033.jpg,68.0,68.0,68.0,39.0,3-6小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '水上乐园：周一-周四10:00-17:30，17:00开始清场。周五六日10:00-19:30，19:00开始清场。', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '3-6小时', 'openTimeDesc': '全年 08:30-17:30；水上乐园：周一-周四10:00-17:30，17:00开始清场。周五六日10:00-19:30，19:00开始清场。', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:30'}]}]}","韶关云门山旅游度假区坐落于世界过山瑶之乡——广东省韶关市乳源县境内，地理位置优越，交通便利，京珠高速、乐广高速出口近在咫尺。景区依托云门山得天独厚的自然风景资源，发挥云门寺佛教文化胜地和“世界过山瑶之乡”的优势，突出体现“云门禅宗文化”及“过山瑶民俗风情文化”的特色主题，度假区内森林植被覆盖率高达89.3%，奇峰林立，古木参天、空气清新、山花烂漫，珍贵野生动植物品种丰富，全年林中溪水潺潺，目前景区开放的项目有自然风景区、云上飞瀑、观光电梯、玻璃桥、观光缆车、机动游乐园、百亩花海、萌宠乐园、孔雀乐园。
【自然风景区】
云门山自然风景区紧邻千年古刹云门寺，山受云门禅宗千年熏陶，水是与云门同本同源的圣水，可谓山水皆有佛性、草木都具禅心，只要漫步云门山间，听着丛林中的鸟语蝉鸣、看着山水间的水流潺潺，压力、烦恼都得以释放，是您远离城市喧嚣、释放压力的理想之地。
【玻璃桥】
云门山玻璃桥全长316米，垂直高度达168米，桥体总宽为2.8米，是广东省内首座高空景观玻璃桥。玻璃桥两峰地势险峻，中间峡谷横穿，山间云雾缭绕，云深雾重之际，踏在玻璃桥上如若“脚踏祥云，腾云驾雾”。值风和日丽之时，踏在玻璃桥上，仿佛直接游走空中，行走在玻璃桥上犹如“人在空中走，景在脚下游”，惊险无比。
【观光缆车】
云门山观光缆车上下高差328米，游客置身缆车可从不同方位和角度欣赏云门山景区秀丽的美景，沿途可近观古木苍翠，穿梭其间，宛如漂浮在仙境之中，将云门山景区无限风光尽收眼底。
【云上飞瀑】
云门山云上飞瀑瀑布出水口宽8米，从顶端直流而下，一泻到底，其落差达168米，相当于五十层楼的高度，从远望去，百米瀑布倾泻而下，颇为壮观，瀑布内安装有3台观光电梯，每台观光电梯可同时容纳13人，是国内罕见的瀑布与电梯组合游玩项目，瀑布顶部设有80米长的观光平台供游客观景，站在观光平台上，可以直接俯瞰谷底的无限美景。
【机动游乐园】
云门山机动游乐园是韶关地区较大的机动游戏乐园，共有摩天轮、火箭蹦极、大摆锤、海盗船、神州飞碟、飓风飞椅、碰碰车、旋转木马、快乐干线、双人飞天、托马斯大火车等17组游乐项目。该项目既能满足儿童游乐又能为追求刺激的人群提供游玩体验。是您亲子陪伴、释放压力的好去处。
【萌宠乐园】
萌宠乐园饲养约520只萌宠动物，有狮子、羊驼、孔雀、矮马、天鹅、鸵鸟、猴子、梅花鹿、鳄鱼等。园区内将分五大主题观赏区：长颈鹿合影观赏区、珍稀动物观赏区、热带爬行动物观赏区、亲子体验互动区、珍禽鸟类观赏区。
【孔雀乐园】
云门山孔雀放飞乐园是粤北地区较大的孔雀乐园，园内可近距离欣赏孔雀、与孔雀亲密互动，还可观看孔雀齐飞。当园内哨声响起，成百上千只孔雀在空中展翅高飞，场面非常震撼。自2019年7月园区开放后，吸引了大批游客前来打卡。
【民俗蜡像馆】
云门山民俗蜡像馆还原瑶族同胞淳朴的生活、西京古道的历史以及体现云门禅宗文化；与现代、历史名人以及影视角色来次面对面接触。
【海洋主题公园】
云门山海洋公园占地面积约1万平方米，主要建设有海狮海豚表演馆、海洋动物观赏、热带雨林馆、水母科普馆及全透明海底观光隧道，园内饲养和展示各种海洋鱼类及生物共500余种。在这里能看到各式各样的海底生物，欣赏到海底世界的神秘绚丽，目前建有热带雨林馆、美人鱼馆、水母/科普馆、海豚表演馆。该项目在2019年1月份开业以来，受到了很多游客的喜爱，是集展览、观赏、科普之地。","{'儿童': [['身高在1.3米(不含)以下', '免费'], ['身高在1.3米(含)-1.5米(含)之间', '优惠票']], '学生': [['全日制大中小学生，凭本人有效学生证', '优惠票']], '老人': [['年龄在65周岁(含)以上，凭身份证', '免费']], '军人': [['士兵、军官，凭有效证件', '免费']], '残疾人': [['凭有效证件', '免费']], '其他免票人群': [['导游、记者、摄影协会、低保救助对象，凭有效证件', '免费']]}"
南华禅寺,Nanhua Temple,11562,78522,24.645915,113.637354,,佛教名寺，供奉六祖真身,0.0,0,4.6,673,https://youimg1.c-ctrip.com/target/0102s120009dlgxzy5120.jpg,0,0,0,0,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeTips': '具体营业状态以当天开放情况为准', 'likeCount': 1, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 08:00-17:00；具体营业状态以当天开放情况为准', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-17:00'}]}]}",南华寺坐落于广东省韶关市，曲江县马坝东南7公里的曹溪之畔，是中国佛教名寺之一，是禅宗六祖惠能宏扬“南宗禅法”的发源地。迈过高大雄伟的牌坊，就看见了古木护持下山门上的“曹溪”二字，这就到了“三门”。一进三门，便是“五香亭”与放生池，池中许多乌龟在悠哉地游动。穿过小巧别致的“五香亭”和放生池，可望见二门门楣上“宝林道场”四个大字匾额。门的两旁有“东粤第一宝刹，禅宗不二法门”的对联。二门内建有壮观的天王殿，殿内供奉弥勒佛，两侧为四大天王塑像。天王殿的背后都有韦驮像。南天王殿背后为一处布置精巧的小花园，园内东西两边有钟楼、鼓楼。再往后走，北面丹墀大雄宝殿，大殿正中供奉释迦牟尼、药师、阿弥陀佛。大殿之中墙壁上雕刻有五百罗汉像，往后走，三世佛背面一金身观音菩萨手托净瓶。大殿后面是藏经阁和灵照塔，其后就是祖殿，六祖慧能的真身放置于内。走出殿门，过了伏虎亭和飞锡桥，上台阶，走进写着“天下宝林”石门，便是卓锡泉，可在这里洗洗手，喝喝泉水。卓锡泉西行，不远处就是虚云老和尚纪念堂，上有对联写，“参见祖师必须空心无我，来到佛地总是宿世有缘”。 继续西行，约百米，是虚云老和尚的舍利塔。礼拜之后，绕塔一周，记载的是虚云老和尚的生平事迹。继续前行，便走到无尽庵，过了尼姑庵后又回到了曹溪门内。,{}
珠玑古巷,Zhuji Lane,11568,78526,25.187679,114.360005,4A|街区漫步,古朴风貌犹存的驿道,0.0,0,3.9,433,https://youimg1.c-ctrip.com/target/100r1f000001gopel6FFF.jpg,38.0,20.0,20.0,20.0,1-2小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-2小时', 'openTimeDesc': '全年 07:00-18:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '07:00-18:00'}]}]}",珠玑巷位于梅岭与南雄县城之间，唐时为驿站，北宋时已经成为沙角镇，是中原人移居岭南的重要聚居地，也是珠江三角洲居民的发祥地和海外无数华侨的祖居。珠玑古巷基本保持着古驿道的原貌，巷内分为北门、中街和南门，有3座城门式门楼，总长1公里多，均为明末建筑物。在“珠玑古巷”牌楼西北，有一七层八角形的元代实心石塔，是广东省现存元代石塔中唯一有确切年代可考的，现已经被为广东省重点保护文物。,"{'儿童': [['1.2米以下（不含）', '免费'], ['儿童1.2米(含)-1.5米(不含)', '优惠']], '老人': [['70岁及以上老人持身份证或老年证', '免费'], ['60（含）-69（含）岁之间老人持身份证或老年证', '优惠']], '学生': [['持学生证', '优惠']], '残疾人': [['持残疾证', '免费']], '现役军人': [['持军官证', '免费']]}"
帽子峰旅游景区,Maozi Peak Forest Farm,1714914,22867446,25.266401,114.177397,演出场馆|森林草原|亲近大自然|4A|登高爬山,,0.0,0,4.0,840,https://youimg1.c-ctrip.com/target/10031f000001grzz9A091.jpg,0,0,0,0,1-8小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-8小时', 'openTimeDesc': '全年 08:30-17:00（17:00停止售票，17:00停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:00(停止售票17:00,最晚入园17:00)'}]}]}",广东帽子峰旅游景区位于广东的银杏主产区、中国银杏之乡-韶关南雄市的西北部，帽子峰总面积2924.6公顷，景区规划面积约9.74平方公里。景区内多保留了原始森林风貌，生态资源丰富，山水秀丽，风光优美，四季鸟语花香，先后入评为中国森林氧吧、广东森林康养基地等。深秋季节，景区内数万亩银杏金黄，层林尽染，受到众多游客及摄影爱好者的追捧，素有“银杏王国”“粤北小九寨”之美誉。景区以创意林场生活为内涵，“林场匠心”、“林场珍馐”“林场精灵”、“林场美景”、“林场生活”五大旅游产品体系为主线，进行景区项目业态设计，满足景区“大观光、小休闲、微度假”的发展方向，是集休闲观光、森林康养、科普研学、红色教育、及自驾车游接待基地为一体的综合性旅游度假景区。,"{'儿童': [['身高在1.2米(含)以下', '免费'], ['身高在1.2米(不含)-1.5米(含)之间', '优惠']], '老人': [['70周岁(含)以上凭身份证', '免费'], ['年龄在60周岁(含)-69周岁(含)之间凭身份证', '优惠']], '现役军人': [['凭本人有效军官证', '免费']], '残疾人': [['精神、智力残疾3级(含)以上，肢体残疾3级A(含)以上或残疾证等级三级(含)以上', '免费']], '带团导游': [['凭本人有效导游证', '免费']]}"
广东大峡谷,Guangdong Great Canyon,17621,79780,24.501103,113.147831,4A|游山玩水,,0.0,0,4.6,1370,https://youimg1.c-ctrip.com/target/350715000000xwtge34F2.jpg,55.0,35.0,35.0,35.0,0.5天,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5天', 'openTimeDesc': '全年 08:00-17:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:00-17:00'}]}]}",广东大峡谷又叫乳源大峡谷，位于韶关市乳源瑶族自治县西南68公里的大布镇。峡谷长达15公里，谷深300多米，在2005年“寻找广东最美的地方”活动中，它被评选为“广东最美丽的峡谷”。 如果喜欢徒步，或者想欣赏下大地的巨大裂痕，这里会是你钟爱的场所。一般行程从谷口广场开始，售票处就位于广场上，广场上也有卖饮料和食品的小店。建议自己带好干粮和水出行，因为一直走到谷底都没有补给处，只有到水电站才有一个小店。景区有详细的导览图，你可以自行选择自己想要走的路线，路线实际很多样，推荐的走法是 “谷口广场-生态观景步道-一线天入口-一线天景区-水卷寨景区-风车门-谷底游客服务点-通天梯-南门游客服务区-千米游廊-谷口广场”如上行程，整个走下来大约3个半小时左右，这条线路能够看到最全面的景色，而且在徒步线路里算比较节省体力的。体力差的人群或者有老人家出行的，可以考虑休闲路线，比如“谷口广场-生态观景步道-一线天入口，大约2km的路程，约60分钟可以走完。其它路线可以参考以下官网链接：http://www.daxiagu.cc/page/html/?122.html峡谷的自然环境真的很美，这里有杜鹃花也有苍松的翠竹，这里有遮天蔽日的植物们和散落在周遭的不知名野花。沿路可以看见小瀑布也有很多小型的水潭，水质很是清澈，就是这样幽静和原始的山谷。在这里漫步，呼吸新鲜空气欣赏美景，一切都显得很是美好。 除了自然风光，景区的景点中，比较有意思的是通天梯。从悬崖一侧的小路沿台阶向下，三百多米的悬崖上布着一千三百多级的台阶，相当于从86层楼往下爬，挺有意思的。另外，景区门票包括了一个高空杂技的表演。在谷底，生态步道，半山腰等处，都可以看到表演。表演前会有音乐声响起，可以稍加注意。高空的杂技非常的精彩，还是蛮值得一看的。,"{'儿童': [['身高在1.2米(不含)以下', '免费'], ['儿童1.2米(含)-1.5米(含)', '优惠']], '老人': [['年龄60周岁(含)以上可持身份证', '优惠']], '学生': [['全日制大中小学生凭学生证', '优惠']], '残疾人': [['凭残疾证', '优惠']], '现役军人': [['凭军官证', '优惠']], '记者': [['凭记者证', '优惠']], '随团导游': [['随团导游凭导游证', '优惠']]}"
水上丹霞,Danxia on the water,1409097,10794452,25.042,113.745696,亲近大自然,乘船看青山绵延，奇峰对峙,0.0,0,4.7,439,https://dimg04.c-ctrip.com/images/100c0v000000jspj5F415.jpg,110.0,110.0,110.0,110.0,1-3小时,"{'openStatus': '', 'openStatusType': 999, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '1-3小时', 'openTimeDesc': '水上丹霞码头开船时间： 夏季(5-9月)：周一至周五9:00-18:00，周末及节假日8:30-18:00。 冬季(10-4月)：周一至周五9:00-17:00，周末及节假日8:30-17:00。 其中：10月1-7日末班船18:00、4月周末及节假日末班船17:30。'}",水上丹霞位于丹霞山风景区内阳元桥南侧，景区有各种观光游船共十九艘，办公及游客休闲场所近3500平方米，码头总面积13000余平方米。水上丹霞阳元码头目前主要以游船观光为主，凭借着得天独厚的地理优势、便捷快速的交通网络和丰富的自然资源，重新诠释了生态休闲度假之旅的新内涵。“丹山碧水”，“碧水”指的就是锦江（水上丹霞）。锦江（水上丹霞）似一条玉带自北而南缠绕于丹霞山群峰之中，江水清澈，两岸奇峰倒映，景色千姿百态。来到丹霞山，您务必真正地游山玩水。乘坐水上丹霞游船，即可跟着船长近距离观赏丹霞山群象过江、赤壁丹霞、金龟朝圣、鲤鱼跳龙门、仙人插掌、茶壶峰、观音送子、姐妹峰等二十多处大自然鬼斧神工的杰作，登山后乘船游览水上丹霞，是佳的选择，既可对比远眺与近观的差别，也能让您更加放松心情和体能。故有“一江贯丹霞”的美称。江面蜿蜒曲折，水流平缓，沿江两岸层峦叠嶂，千姿百态，让游客身临其境，感受大自然的美好。聆听动人的传说，无不使您充满奇幻的遐想与美丽的憧憬。码头园区内景色秀丽、植被茂密葱郁，一年四季如春，平均气温比四周低3-5度，空气清新。游人置身其中，仿佛人间仙境、世外桃源。,"{'儿童': [['身高在1.2米(含)以下的', '免费'], ['身高在1.2米(不含)-1.5米(含)之间的', '半价']], '韶关居民': [['凭身份证', '优惠价100元/人（春节、五一、国庆无此政策）']]}"
仙门奇峡竹筏漂流,,5712077,96926716,24.626738,113.061175,游山玩水,,0.0,0,5.0,2282,https://youimg1.c-ctrip.com/target/010501200087jjxjmD69E.jpg,115.9,66.8,66.8,66.8,2-3小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'openTimeHolidayDesc': '元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 08:30-17:30开放(最晚入园16:30)', 'likeCount': 0, 'isLiked': False, 'playSpendTime': '2-3小时', 'openTimeDesc': '全年 周一-周五 09:00-17:30（16:30停止入园） 周六-周日 08:30-17:30（16:30停止入园）；元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节 08:30-17:30开放（16:30停止入园）', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekTime': '周一至周五', 'weekDesc': '09:00-17:30(最晚入园16:30)'}, {'weekTime': '周六至周日', 'weekDesc': '08:30-17:30(最晚入园16:30)'}]}, {'dateDesc': '元旦节,春节,清明节,劳动节,端午节,中秋节,国庆节', 'holidayOpenDesc': '08:30-17:30开放(最晚入园16:30)', 'isCurrentTime': False}]}",仙门奇峡竹筏漂流全长约3公里，往返约90分钟。游客乘坐竹筏在情侣峡来回穿梭，呈现出一幅“情侣峡波光潋滟，秀水涧竹筏穿梭”的秀美画卷。峡谷两岸的悬崖峭壁千姿百态，似神仙出入；百鸟鸣叫犹如情侣对歌；植物种类丰富，是名副其实的“植物大观园”。唐代宰相张九龄曾美言：“情侣峡谷赛漓江，仙门通往西京道。”,{}
丹霞山索道,Danxia Mountain Tramway,69257565,69257565,25.0315,113.745846,,,0.0,0,4.9,177,https://youimg1.c-ctrip.com/target/0101h12000b8d3kndBD8E.jpg,58.0,58.0,58.0,25.0,0.5-2小时,"{'openStatus': '今日已闭园', 'openStatusType': 1, 'canSubscribed': False, 'hasSubscribed': False, 'likeCount': 0, 'isLiked': False, 'playSpendTime': '0.5-2小时', 'openTimeDesc': '全年 08:30-17:00', 'openDateRuleInfo': [{'dateDesc': '全年', 'isCurrentTime': False, 'openWeekRuleInfo': [{'weekDesc': '08:30-17:00'}]}]}",丹霞山索道缆车位于长老峰脚下，缆车口上到顶部是宝珠峰韶音亭。游客在做缆车的同时可以观赏到丹霞山的景色。,{}
